node1,node2,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,treeID
1,2,40.9432775779508,-73.7972974934222,40.593327798257,-73.2413463483725,2.95140314852847,0,1999,2001.95140314853,60.9490062606547,-9999
1,3,40.9432775779508,-73.7972974934222,40.8471513946607,-74.0124856497829,0.254620123203267,0,1999,1999.2546201232,21.0338177499936,-9999
3,4,40.8471513946607,-74.0124856497829,40.8477765184217,-74.0353045065108,0.320328542094558,0.254620123203267,1999.2546201232,1999.32032854209,1.9228660350139,-9999
4,6,40.8477765184217,-74.0353045065108,40.7935261601176,-74.6100238665837,2.01779603011641,0.320328542094558,1999.32032854209,2001.01779603012,48.7925749192304,-9999
6,8,40.7935261601176,-74.6100238665837,40.7118299069725,-74.3484912715477,2.37919233401772,2.01779603011641,2001.01779603012,2001.37919233402,23.857031511435,-9999
3,5,40.8471513946607,-74.0124856497829,41.1439704195482,-74.3057933193381,2.91854893908271,0.254620123203267,1999.2546201232,2001.91854893908,41.2212488473387,-9999
4,7,40.8477765184217,-74.0353045065108,40.806554131986,-73.4584389231764,2.94866529774117,0.320328542094558,1999.32032854209,2001.94866529774,48.8096130076065,-9999
7,11,40.806554131986,-73.4584389231764,40.6716738954041,-73.386101181505,3.53182751540044,2.94866529774117,2001.94866529774,2002.5318275154,16.2077601888887,-9999
11,13,40.6716738954041,-73.386101181505,40.6740917430529,-73.355727630131,3.72621492128678,3.53182751540044,2002.5318275154,2002.72621492129,2.57861051886902,-9999
13,15,40.6740917430529,-73.355727630131,40.6351724852635,-73.4553211710212,3.81656399726216,3.72621492128678,2002.72621492129,2002.81656399726,9.461559721947,-9999
13,14,40.6740917430529,-73.355727630131,40.3213844978939,-73.4183997972306,3.90965092402462,3.72621492128678,2002.72621492129,2002.90965092402,39.6215488807648,-9999
14,16,40.3213844978939,-73.4183997972306,40.3733193421358,-73.4877728593711,4.49555099247095,3.90965092402462,2002.90965092402,2003.49555099247,8.25046343313431,-9999
7,10,40.806554131986,-73.4584389231764,40.6206057201367,-72.7914230561974,5.09787816563994,2.94866529774117,2001.94866529774,2004.09787816564,59.9694342619643,-9999
11,12,40.6716738954041,-73.386101181505,40.5293877468855,-73.7255796827387,5.10335386721431,3.53182751540044,2002.5318275154,2004.10335386721,32.7758357835195,-9999
10,20,40.6206057201367,-72.7914230561974,40.6290902957267,-72.8338528179665,5.21013004791234,5.09787816563994,2004.09787816564,2004.21013004791,3.70738204300481,-9999
16,18,40.3733193421358,-73.4877728593711,40.4330354173463,-73.611879478125,5.36344969199172,4.49555099247095,2003.49555099247,2004.36344969199,12.445227193029,-9999
20,24,40.6290902957267,-72.8338528179665,40.6542026434031,-72.7518982654372,5.40177960301162,5.21013004791234,2004.21013004791,2004.40177960301,7.46604577781801,-9999
24,27,40.6542026434031,-72.7518982654372,40.692763009658,-72.7892203429775,5.46201232032854,5.40177960301162,2004.40177960301,2004.46201232033,5.32513936133186,-9999
12,23,40.5293877468855,-73.7255796827387,40.4939548536607,-73.6379535801157,5.67556468172484,5.10335386721431,2004.10335386721,2004.67556468172,8.40011397783092,-9999
16,19,40.3733193421358,-73.4877728593711,40.6216854190674,-73.6079511468641,5.83709787816565,4.49555099247095,2003.49555099247,2004.83709787817,29.4613898820716,-9999
6,9,40.7935261601176,-74.6100238665837,41.3248870075396,-74.3017856917227,5.91923340177959,2.01779603011641,2001.01779603012,2004.91923340178,64.5642605514799,-9999
27,29,40.692763009658,-72.7892203429775,40.6911920286496,-72.828647503742,6.14647501711147,5.46201232032854,2004.46201232033,2005.14647501711,3.33258398382201,-9999
27,28,40.692763009658,-72.7892203429775,40.6736383577858,-72.9884743128775,6.16837782340872,5.46201232032854,2004.46201232033,2005.16837782341,16.9551630363569,-9999
23,31,40.4939548536607,-73.6379535801157,40.3519339225026,-73.756662131576,6.26146475017117,5.67556468172484,2004.67556468172,2005.26146475017,18.7397197447221,-9999
29,34,40.6911920286496,-72.828647503742,40.8400043553076,-72.7888094393285,6.32991101984931,6.14647501711147,2005.14647501711,2005.32991101985,16.9034612690628,-9999
19,33,40.6216854190674,-73.6079511468641,40.5529511718342,-73.4783164676815,6.35181382614655,5.83709787816565,2004.83709787817,2005.35181382615,13.3663383416395,-9999
31,36,40.3519339225026,-73.756662131576,40.2403568873593,-73.7643776697127,6.49418206707742,6.26146475017117,2005.26146475017,2005.49418206708,12.4384512658165,-9999
31,37,40.3519339225026,-73.756662131576,40.104806310951,-73.9324280290852,6.49965776865156,6.26146475017117,2005.26146475017,2005.49965776865,31.3055220115794,-9999
19,32,40.6216854190674,-73.6079511468641,40.6224553839119,-73.784040534053,6.5462012320329,5.83709787816565,2004.83709787817,2005.54620123203,14.8792884975363,-9999
33,38,40.5529511718342,-73.4783164676815,40.7564529665447,-73.5024209906083,6.74880219028068,6.35181382614655,2005.35181382615,2005.74880219028,22.7458915421038,-9999
23,30,40.4939548536607,-73.6379535801157,40.4313052591385,-73.3847846184193,6.88843258042448,5.67556468172484,2004.67556468172,2005.88843258042,22.5487257945686,-9999
30,48,40.4313052591385,-73.3847846184193,40.3577036914073,-73.4441355504045,6.99520876112251,6.88843258042448,2005.88843258042,2005.99520876112,9.61543356063238,-9999
48,51,40.3577036914073,-73.4441355504045,40.2198998265557,-73.628110579253,7.08008213552353,6.99520876112251,2005.99520876112,2006.08008213552,21.8954080260225,-9999
33,39,40.5529511718342,-73.4783164676815,40.536547107812,-73.494666236755,7.15400410677626,6.35181382614655,2005.35181382615,2006.15400410678,2.29082021155492,-9999
32,44,40.6224553839119,-73.784040534053,40.3861579075579,-73.7646901941596,7.18685831622179,6.5462012320329,2005.54620123203,2006.18685831622,26.3564934816654,-9999
48,50,40.3577036914073,-73.4441355504045,40.2873933633571,-73.6389418973358,7.21971252566732,6.99520876112251,2005.99520876112,2006.21971252567,18.2932648489897,-9999
29,35,40.6911920286496,-72.828647503742,40.9753916474612,-73.0598689582432,7.30732375085563,6.14647501711147,2005.14647501711,2006.30732375086,37.1520289807998,-9999
24,26,40.6542026434031,-72.7518982654372,40.8791335899186,-72.7278478947169,7.55373032169746,5.40177960301162,2004.40177960301,2006.5537303217,25.1221552419846,-9999
32,45,40.6224553839119,-73.784040534053,41.0180220081894,-74.1242902271104,7.57563312799448,6.5462012320329,2005.54620123203,2006.57563312799,52.5435104108808,-9999
38,46,40.7564529665447,-73.5024209906083,40.4476030923648,-74.0042245314315,7.65776865160842,6.74880219028068,2005.74880219028,2006.65776865161,54.5989685287222,-9999
46,56,40.4476030923648,-74.0042245314315,40.4834596627003,-74.0147335350141,7.68240930869274,7.65776865160842,2006.65776865161,2006.68240930869,4.08972006782591,-9999
45,54,41.0180220081894,-74.1242902271104,40.9032604173279,-74.021041882752,7.7481177275838,7.57563312799448,2006.57563312799,2006.74811772758,15.4453134767241,-9999
51,53,40.2198998265557,-73.628110579253,40.2835045052282,-73.5133935282437,7.79466119096514,7.08008213552353,2006.08008213552,2006.79466119097,12.0472697580167,-9999
30,49,40.4313052591385,-73.3847846184193,40.2495198773446,-73.3173771718151,7.83572895277212,6.88843258042448,2005.88843258042,2006.83572895277,21.0298115461137,-9999
37,42,40.104806310951,-73.9324280290852,40.714212177636,-74.6508035039529,7.84120465434626,6.49965776865156,2005.49965776865,2006.84120465435,91.1610261641444,-9999
36,40,40.2403568873593,-73.7643776697127,40.1019200008718,-73.9020589511536,7.85763175906914,6.49418206707742,2005.49418206708,2006.85763175907,19.3565547348044,-9999
12,22,40.5293877468855,-73.7255796827387,40.6876647190064,-72.8290873451258,7.86036960985621,5.10335386721431,2004.10335386721,2006.86036960986,77.7878257675321,-9999
45,55,41.0180220081894,-74.1242902271104,41.203024626086,-73.9557400493741,7.95071868583159,7.57563312799448,2006.57563312799,2006.95071868583,24.9805191593403,-9999
