"X","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","greatCircleDist_km","treeID"
1,42,47,1.54507688452774,-20.1398820046744,-40.5180105209519,-20.2569322704708,-40.5801112606555,1.54507688452774,0,1984.87070442913,1986.41578131366,12.0759093757762,114950000
2,42,43,17.028721847273,-20.1398820046744,-40.5180105209519,-20.318584220262,-40.3357732097739,17.028721847273,0,1984.87070442913,2001.89942627641,25.316254441119,114950000
3,43,46,6.65697820253346,-20.318584220262,-40.3357732097739,-20.3449565043941,-40.2986514053007,23.6857000498065,17.028721847273,2001.89942627641,2008.55640447894,4.69988140091001,114950000
4,43,44,2.66113783754877,-20.318584220262,-40.3357732097739,-20.615855362107,-40.444299150345,19.6898596848218,17.028721847273,2001.89942627641,2004.56056411395,27.9514665297755,114950000
5,44,3,1.64943588604523,-20.615855362107,-40.444299150345,-20.650393,-40.507025,21.339295570867,19.6898596848218,2004.56056411395,2006.21,7.57064364983714,114950000
6,44,45,5.52126809524244,-20.615855362107,-40.444299150345,-20.3845733427587,-40.4957277885396,25.2111277800642,19.6898596848218,2004.56056411395,2010.0818322092,20.4066593295011,114950000
7,45,1,0.128167790802786,-20.3845733427587,-40.4957277885396,-20.391538,-40.493512,25.339295570867,25.2111277800642,2010.0818322092,2010.21,0.639133641247345,114950000
8,45,2,0.378167790802786,-20.3845733427587,-40.4957277885396,-20.266542,-40.421805,25.589295570867,25.2111277800642,2010.0818322092,2010.46,12.948956903162,114950000
9,46,4,1.48359552106046,-20.3449565043941,-40.2986514053007,-20.315367,-40.301795,25.169295570867,23.6857000498065,2008.55640447894,2010.04,2.53649263197388,114950000
10,46,5,1.65359552106053,-20.3449565043941,-40.2986514053007,-20.315357,-40.301785,25.339295570867,23.6857000498065,2008.55640447894,2010.21,2.53718042649745,114950000
11,47,66,13.230713921106,-20.2569322704708,-40.5801112606555,-19.0561935745096,-40.0415082093007,14.7757908056338,1.54507688452774,1986.41578131366,1999.64649523477,118.256072057079,114950000
12,47,48,12.6297986669799,-20.2569322704708,-40.5801112606555,-20.8005334109143,-40.7960010577641,14.1748755515076,1.54507688452774,1986.41578131366,1999.04557998064,51.8000911766227,114950000
13,48,49,0.106671839717739,-20.8005334109143,-40.7960010577641,-20.7850008874341,-40.8716128501788,14.2815473912253,14.1748755515076,1999.04557998064,1999.15225182036,8.51846150653679,114950000
14,48,6,7.49442001935935,-20.8005334109143,-40.7960010577641,-22.087694,-41.688944,21.669295570867,14.1748755515076,1999.04557998064,2006.54,146.592913843788,114950000
15,49,54,3.57409808964695,-20.7850008874341,-40.8716128501788,-20.8233913892015,-40.9554359440638,17.8556454808723,14.2815473912253,1999.15225182036,2002.72634991001,9.87461377054242,114950000
16,49,50,6.25399388401831,-20.7850008874341,-40.8716128501788,-19.7508406736318,-40.2682105661828,20.5355412752436,14.2815473912253,1999.15225182036,2005.40624570438,110.271104396647,114950000
17,50,7,2.63375429562331,-19.7508406736318,-40.2682105661828,-19.935588,-40.406632,23.169295570867,20.5355412752436,2005.40624570438,2008.04,21.9823167540968,114950000
18,50,51,0.00315858360701515,-19.7508406736318,-40.2682105661828,-19.7497131467204,-40.2616748335142,20.5386998588507,20.5355412752436,2005.40624570438,2005.40940428798,0.733860327957981,114950000
19,51,8,0.710595712016218,-19.7497131467204,-40.2616748335142,-19.758194,-40.376564,21.2492955708669,20.5386998588507,2005.40940428798,2006.12,12.8101481831085,114950000
20,51,52,0.495942958713267,-19.7497131467204,-40.2616748335142,-19.767825867608,-40.2271947523727,21.0346428175639,20.5386998588507,2005.40940428798,2005.9053472467,4.13552281327329,114950000
21,52,53,1.938629540328,-19.767825867608,-40.2271947523727,-19.8469663417849,-40.3447299743142,22.9732723578919,21.0346428175639,2005.9053472467,2007.84397678702,14.7095522268064,114950000
22,52,11,1.0546527533031,-19.767825867608,-40.2271947523727,-19.829738,-40.374662,22.089295570867,21.0346428175639,2005.9053472467,2006.96,17.2376318927944,114950000
23,53,10,1.36602321297509,-19.8469663417849,-40.3447299743142,-20.128696,-40.308267,24.339295570867,22.9732723578919,2007.84397678702,2009.21,24.2524638762329,114950000
24,53,9,0.536023212975167,-19.8469663417849,-40.3447299743142,-19.819618,-40.274364,23.5092955708671,22.9732723578919,2007.84397678702,2008.38,8.1702101273348,114950000
25,54,55,1.7166254876292,-20.8233913892015,-40.9554359440638,-20.9299612261103,-41.2256531839527,19.5722709685015,17.8556454808723,2002.72634991001,2004.44297539763,31.3823570291371,114950000
26,54,64,2.15571426772311,-20.8233913892015,-40.9554359440638,-20.7696005435443,-40.9658244268531,20.0113597485954,17.8556454808723,2002.72634991001,2004.88206417773,4.66759401528966,114950000
27,55,60,2.06884144775969,-20.9299612261103,-41.2256531839527,-20.7268878008645,-41.1735803087875,21.6411124162612,19.5722709685015,2004.44297539763,2006.51181684539,17.9705482807572,114950000
28,55,56,0.751007389586941,-20.9299612261103,-41.2256531839527,-20.7389284638171,-41.3750395669367,20.3232783580884,19.5722709685015,2004.44297539763,2005.19398278722,23.0612138171046,114950000
29,56,57,0.606965283013664,-20.7389284638171,-41.3750395669367,-20.8640102060775,-41.540817622041,20.9302436411021,20.3232783580884,2005.19398278722,2005.80094807024,21.2012255536984,114950000
30,56,12,2.34601721277852,-20.7389284638171,-41.3750395669367,-20.536467,-41.658754,22.669295570867,20.3232783580884,2005.19398278722,2007.54,35.8101031006634,114950000
