"","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","greatCircleDist_km","treeID"
"1",242,243,77.7487012401473,29.4051677618902,-96.4039584146163,31.4342836174666,-98.0290336316707,77.7487012401473,0,1794.28104060966,1872.02974184981,274.514094243052,"399950000"
"2",242,467,168.485496068525,29.4051677618902,-96.4039584146163,29.8159611131779,-96.9801326989321,168.485496068525,0,1794.28104060966,1962.76653667819,72.1184137889011,"399950000"
"3",243,244,24.776249284132,31.4342836174666,-98.0290336316707,32.5879400651906,-98.4830679103356,102.524950524279,77.7487012401473,1872.02974184981,1896.80599113394,135.391715692159,"399950000"
"4",243,379,26.3114522711406,31.4342836174666,-98.0290336316707,31.5683443203159,-97.4393102086767,104.060153511288,77.7487012401473,1872.02974184981,1898.34119412095,57.9305885645354,"399950000"
"5",244,245,2.07758915682255,32.5879400651906,-98.4830679103356,32.6144780466188,-98.4837354680176,104.602539681102,102.524950524279,1896.80599113394,1898.88358029077,2.95497411796743,"399950000"
"6",244,250,49.743646510898,32.5879400651906,-98.4830679103356,33.5791330391116,-98.0472030149222,152.268597035177,102.524950524279,1896.80599113394,1946.54963764484,117.594436410676,"399950000"
"7",245,249,74.0344640120068,32.6144780466188,-98.4837354680176,30.1051418028391,-99.3098647179923,178.637003693109,104.602539681102,1898.88358029077,1972.91804430277,290.174390072968,"399950000"
"8",245,246,62.4872125857963,32.6144780466188,-98.4837354680176,33.1000544102729,-109.076825331141,167.089752266898,104.602539681102,1898.88358029077,1961.37079287656,991.662244976314,"399950000"
"9",246,4,23.6292071234382,33.1000544102729,-109.076825331141,33.040556,-109.300833,190.718959390336,167.089752266898,1961.37079287656,1985,21.9221508697544,"399950000"
"10",246,247,20.9944886039159,33.1000544102729,-109.076825331141,32.4638491836088,-111.386355320022,188.084240870814,167.089752266898,1961.37079287656,1982.36528148048,227.459204480834,"399950000"
"11",247,3,3.63471851952231,32.4638491836088,-111.386355320022,33.671667,-111.161111,191.718959390336,188.084240870814,1982.36528148048,1986,136.090936486295,"399950000"
"12",247,248,16.2595528997119,32.4638491836088,-111.386355320022,31.9558332758296,-109.697951404693,204.343793770526,188.084240870814,1982.36528148048,1998.62483438019,168.786825797262,"399950000"
"13",248,1,11.3751656198105,31.9558332758296,-109.697951404693,31.9775748226594,-109.791105938817,215.718959390336,204.343793770526,1998.62483438019,2010,9.12458595121306,"399950000"
"14",248,2,11.3751656198105,31.9558332758296,-109.697951404693,31.9546211627971,-109.694374916974,215.718959390336,204.343793770526,1998.62483438019,2010,0.36376667504311,"399950000"
"15",249,5,26.0819556972278,30.1051418028391,-99.3098647179923,30.04591,-99.14096,204.718959390336,178.637003693109,1972.91804430277,1999,17.5568754351742,"399950000"
"16",249,6,18.0819556972278,30.1051418028391,-99.3098647179923,30.5421077189328,-100.555911626788,196.718959390336,178.637003693109,1972.91804430277,1991,129.239845145992,"399950000"
"17",250,251,1.67298868024801,33.5791330391116,-98.0472030149222,33.9220393486676,-97.997366500987,153.941585715425,152.268597035177,1946.54963764484,1948.22262632509,38.4513638536713,"399950000"
"18",250,376,18.3714316678177,33.5791330391116,-98.0472030149222,32.4558116466158,-98.0931509648523,170.640028702995,152.268597035177,1946.54963764484,1964.92106931266,125.126011947349,"399950000"
"19",251,252,1.85005703337158,33.9220393486676,-97.997366500987,31.4650104451543,-99.364401921409,155.791642748797,153.941585715425,1948.22262632509,1950.07268335846,302.015609607169,"399950000"
"20",251,336,11.2231422492614,33.9220393486676,-97.997366500987,34.0149530105444,-97.6945689535499,165.164727964687,153.941585715425,1948.22262632509,1959.44576857435,29.8081876158824,"399950000"
"21",252,253,24.3557250291302,31.4650104451543,-99.364401921409,32.4840322788777,-99.5163347733502,180.147367777927,155.791642748797,1950.07268335846,1974.42840838759,114.345124253878,"399950000"
"22",252,265,10.536690356621,31.4650104451543,-99.364401921409,31.4393199102224,-99.0651408939964,166.328333105418,155.791642748797,1950.07268335846,1960.60937371508,28.5636715245143,"399950000"
"23",253,254,26.5244770652394,32.4840322788777,-99.5163347733502,32.5866771595402,-99.3977958848438,206.671844843166,180.147367777927,1974.42840838759,2000.95288545283,15.9481078931853,"399950000"
"24",253,19,10.5715916124092,32.4840322788777,-99.5163347733502,33.60009,-99.7337,190.718959390336,180.147367777927,1974.42840838759,1985,125.888706030984,"399950000"
"25",254,255,2.1469730627051,32.5866771595402,-99.3977958848438,33.374662310394,-98.1679742747478,208.818817905872,206.671844843166,2000.95288545283,2003.09985851554,144.51338904421,"399950000"
"26",254,257,2.96865108562076,32.5866771595402,-99.3977958848438,33.0034074518801,-99.9998088584951,209.640495928787,206.671844843166,2000.95288545283,2003.92153653845,72.9793872103362,"399950000"
"27",255,9,9.90014148446474,33.374662310394,-98.1679742747478,33.62973,-99.21986,218.718959390336,208.818817905872,2003.09985851554,2013,101.68980993728,"399950000"
"28",255,256,2.24265774350632,33.374662310394,-98.1679742747478,33.4729280230381,-98.3838388353059,211.061475649378,208.818817905872,2003.09985851554,2005.34251625904,22.845936858741,"399950000"
"29",256,8,5.65748374095842,33.4729280230381,-98.3838388353059,33.96676,-98.71701,216.718959390336,211.061475649378,2005.34251625904,2011,63.0395768685656,"399950000"
"30",256,7,5.65748374095842,33.4729280230381,-98.3838388353059,33.23984,-98.18169,216.718959390336,211.061475649378,2005.34251625904,2011,32.0410982791117,"399950000"
