node1,node2,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,length
1,2,40.9432775779508,-73.7972974934222,41.0182130982254,-73.5746435446201,1.08145106091729,0,1999,2000.08145106092,20.4875032343025,1.08145106092002
1,3,40.9432775779508,-73.7972974934222,41.2361345207332,-74.0124223990211,0.657084188911767,0,1999,1999.65708418891,37.2649006316771,0.657084188909948
2,6,41.0182130982254,-73.5746435446201,40.919971675419,-73.5715187363689,1.17180013689244,1.08145106091729,2000.08145106092,2000.17180013689,10.9397691911138,0.0903490759699253
6,9,40.919971675419,-73.5715187363689,40.8555593542083,-73.6477083200365,1.31416837782331,1.17180013689244,2000.17180013689,2000.31416837782,9.61941895363111,0.142368240929954
9,10,40.8555593542083,-73.6477083200365,41.1973853385529,-73.5013949624671,2.80629705681031,1.31416837782331,2000.31416837782,2001.80629705681,39.9881432606548,1.49212867899018
10,24,41.1973853385529,-73.5013949624671,41.2582901800903,-73.533260597104,2.82272416153319,2.80629705681031,2001.80629705681,2001.82272416153,7.28620278106474,0.0164271047199236
12,21,40.9527350457733,-73.9317128917434,40.9703058108813,-74.1467663613461,2.86652977412723,2.55989048596848,2001.55989048597,2001.86652977413,18.1842384701646,0.306639288159886
24,26,41.2582901800903,-73.533260597104,41.3117857542567,-73.537748841855,3.35660506502404,2.82272416153319,2001.82272416153,2002.35660506502,5.96715795405766,0.533880903489944
10,25,41.1973853385529,-73.5013949624671,41.071340738039,-73.4080683261797,3.49075975359347,2.80629705681031,2001.80629705681,2002.49075975359,16.0661679964452,0.684462696779974
12,20,40.9527350457733,-73.9317128917434,41.3644309281571,-73.7608482553435,3.93976728268308,2.55989048596848,2001.55989048597,2002.93976728268,48.0168820769989,1.37987679670982
17,34,41.1888925986979,-73.3749208240779,40.9100456451348,-73.3245133544421,4.02737850787139,3.21971252566732,2002.21971252567,2003.02737850787,31.3294551769409,0.807665982199978
21,29,40.9703058108813,-74.1467663613461,40.8983506016125,-74.249062054558,4.08213552361394,2.86652977412723,2001.86652977413,2003.08213552361,11.7549843202073,1.21560574948012
29,52,40.8983506016125,-74.249062054558,40.8202524118896,-74.2266600159631,4.27378507871322,4.08213552361394,2003.08213552361,2003.27378507871,8.89643855295052,0.191649555099957
52,64,40.8202524118896,-74.2266600159631,40.6581792823712,-74.0795122615185,4.88980150581801,4.27378507871322,2003.27378507871,2003.88980150582,21.8994598149523,0.616016427110026
52,65,40.8202524118896,-74.2266600159631,40.9566908412594,-74.4907527557442,5.2046543463382,4.27378507871322,2003.27378507871,2004.20465434634,26.9200264682134,0.930869267629987
80,91,41.2193918738302,-73.484162072723,41.1927172390761,-73.5392346315712,5.52224503764546,5.13073237508547,2004.13073237509,2004.52224503765,5.48576839641191,0.39151266255999
34,48,40.9100456451348,-73.3245133544421,40.314883593544,-73.3384880098112,5.57426420260094,4.02737850787139,2003.02737850787,2004.5742642026,66.2662680226929,1.54688569473001
20,47,41.3644309281571,-73.7608482553435,40.9003668046758,-73.3396633396389,5.9301848049281,3.93976728268308,2002.93976728268,2004.93018480493,62.578497165157,1.99041752225003
29,53,40.8983506016125,-74.249062054558,40.9996129062313,-74.1224305668184,5.95482546201242,4.08213552361394,2003.08213552361,2004.95482546201,15.5063432641338,1.87268993839984
57,111,40.8334068548788,-73.6252931190621,40.8667091035833,-73.7910771284968,6.05886379192339,5.80424366872012,2004.80424366872,2005.05886379192,14.4442207729511,0.254620123200084
117,139,40.626087995652,-72.8280897474329,40.6096122501832,-72.6603798715993,7.58658453114299,6.4695414099931,2005.46954140999,2006.58658453114,14.2900882983301,1.11704312115012
150,182,40.6559896431303,-72.9105777129437,40.7829141457349,-72.9144189516207,7.63860369609847,7.61122518822731,2006.61122518823,2006.6386036961,14.1334435453881,0.0273785078700257
182,185,40.7829141457349,-72.9144189516207,40.8038171392105,-72.9764296247676,7.70431211498976,7.63860369609847,2006.6386036961,2006.70431211499,5.72090493353818,0.0657084188899262
