time	distance
1997.32098142345	0
1997.41761401633	0
1997.51424660922	0
1997.6108792021	0
1997.70751179498	0
1997.80414438786	0
1997.90077698075	0
1997.99740957363	0
1998.09404216651	0
1998.19067475939	0
1998.28730735228	19.2656453737911
1998.38393994516	61.9974276291563
1998.48057253804	97.9899574807145
1998.57720513093	129.246995444222
1998.67383772381	167.220335597759
1998.77047031669	210.981864865487
1998.86710290957	252.81596322147
1998.96373550246	308.759868211553
1999.06036809534	355.206215899429
1999.15700068822	428.163044236673
1999.2536332811	590.522939568749
1999.35026587399	821.339707556594
1999.44689846687	1049.29954382756
1999.54353105975	1262.05524027774
1999.64016365264	1430.08035973552
1999.73679624552	1577.97250871139
1999.8334288384	1708.32563349465
1999.93006143128	1753.93599960356
2000.02669402417	1789.97050695894
2000.12332661705	1832.87142026806
2000.21995920993	1888.06065666725
2000.31659180282	1942.4886951365
2000.4132243957	1995.17614501751
2000.50985698858	2080.82807125801
2000.60648958146	2192.44737241948
2000.70312217435	2309.34820944514
2000.79975476723	2439.80565153895
2000.89638736011	2564.18474189524
2000.99301995299	2706.0640108269
2001.08965254588	2706.0640108269
2001.18628513876	2711.28267474929
2001.28291773164	2742.75826201767
2001.37955032453	2886.54804990736
2001.47618291741	3070.83516751707
2001.57281551029	3372.29340761568
2001.66944810317	4244.26628090688
2001.76608069606	4315.05917063634
2001.86271328894	4610.03927231661
2001.95934588182	5208.99901475195
2002.0559784747	5812.41112723728
2002.15261106759	6417.11542512973
2002.24924366047	7020.21013069042
2002.34587625335	7624.56259692003
2002.44250884624	8224.61058327661
2002.53914143912	8820.05896626033
2002.635774032	9410.97955660593
2002.73240662488	9990.55300536617
2002.82903921777	10567.0966801584
2002.92567181065	11132.5247466329
2003.02230440353	11132.5247466329
2003.11893699641	11132.5247466329
2003.2155695893	11132.5247466329
2003.31220218218	11132.5247466329
2003.40883477506	11132.5247466329
2003.50546736795	11132.5247466329
2003.60209996083	11132.5247466329
2003.69873255371	11132.5247466329
2003.79536514659	11132.5247466329
2003.89199773948	11317.8141992692
2003.98863033236	11671.3654658284
2004.08526292524	11671.3654658284
2004.18189551813	11671.3654658284
2004.27852811101	11671.3654658284
2004.37516070389	11671.3654658284
2004.47179329677	11671.3654658284
2004.56842588966	11671.3654658284
2004.66505848254	11671.3654658284
2004.76169107542	11671.3654658284
2004.8583236683	11671.3654658284
2004.95495626119	11671.3654658284
2005.05158885407	11671.3654658284
2005.14822144695	11671.3654658284
2005.24485403984	11671.3654658284
2005.34148663272	11671.3654658284
2005.4381192256	11671.3654658284
2005.53475181848	11671.3654658284
2005.63138441137	11671.3654658284
2005.72801700425	11671.3654658284
2005.82464959713	11671.3654658284
2005.92128219001	11671.3654658284
2006.0179147829	11671.3654658284
2006.11454737578	11671.3654658284
2006.21117996866	11671.3654658284
2006.30781256155	11671.3654658284
2006.40444515443	11671.3654658284
2006.50107774731	11671.3654658284
2006.59771034019	11671.3654658284
2006.69434293308	11671.3654658284
2006.79097552596	11671.3654658284
2006.88760811884	11671.3654658284
2006.98424071172	11671.3654658284
2007.08087330461	11671.3654658284
2007.17750589749	11671.3654658284
2007.27413849037	11671.3654658284
2007.37077108326	11671.3654658284
2007.46740367614	11671.3654658284
2007.56403626902	11671.3654658284
2007.6606688619	11671.3654658284
2007.75730145479	11671.3654658284
2007.85393404767	11671.3654658284
2007.95056664055	11671.3654658284
2008.04719923344	11671.3654658284
2008.14383182632	11671.3654658284
2008.2404644192	11671.3654658284
2008.33709701208	11671.3654658284
2008.43372960497	11671.3654658284
2008.53036219785	11671.3654658284
2008.62699479073	11671.3654658284
2008.72362738361	11671.3654658284
2008.8202599765	11671.3654658284
2008.91689256938	11671.3654658284
2009.01352516226	11671.3654658284
2009.11015775515	11671.3654658284
2009.20679034803	11671.3654658284
2009.30342294091	11671.3654658284
2009.40005553379	11671.3654658284
2009.49668812668	11671.3654658284
2009.59332071956	11671.3654658284
2009.68995331244	11671.3654658284
2009.78658590532	11671.3654658284
2009.88321849821	11671.3654658284
2009.97985109109	11671.3654658284
2010.07648368397	11671.3654658284
2010.17311627686	11671.3654658284
2010.26974886974	11671.3654658284
2010.36638146262	11671.3654658284
2010.4630140555	11671.3654658284
2010.55964664839	11671.3654658284
2010.65627924127	11671.3654658284
2010.75291183415	11671.3654658284
2010.84954442703	11671.3654658284
2010.94617701992	11671.3654658284
2011.0428096128	11671.3654658284
2011.13944220568	11671.3654658284
2011.23607479857	11671.3654658284
2011.33270739145	11671.3654658284
2011.42933998433	11671.3654658284
2011.52597257721	11671.3654658284
2011.6226051701	11671.3654658284
2011.71923776298	11671.3654658284
2011.81587035586	11671.3654658284
2011.91250294875	11671.3654658284
2012.00913554163	11671.3654658284
2012.10576813451	11671.3654658284
2012.20240072739	11671.3654658284
2012.29903332028	11671.3654658284
2012.39566591316	11671.3654658284
2012.49229850604	11671.3654658284
2012.58893109892	11671.3654658284
2012.68556369181	11671.3654658284
2012.78219628469	11671.3654658284
2012.87882887757	11671.3654658284
2012.97546147046	11671.3654658284
2013.07209406334	11671.3654658284
2013.16872665622	11671.3654658284
2013.2653592491	11671.3654658284
2013.36199184199	11671.3654658284
2013.45862443487	11671.3654658284
2013.55525702775	11671.3654658284
2013.65188962063	11671.3654658284
2013.74852221352	11671.3654658284
2013.8451548064	11671.3654658284
2013.94178739928	11671.3654658284
2014.03841999217	11671.3654658284
2014.13505258505	11671.3654658284
2014.23168517793	11671.3654658284
2014.32831777081	11671.3654658284
2014.4249503637	11671.3654658284
2014.52158295658	11671.3654658284
