time	95%HPD_lower_value	95%HPD_higher_value
1997.32098142377	NA	NA
1997.41761401665	0	0
1997.51424660953	0	0
1997.61087920241	0	0.280151774276502
1997.70751179529	0	8.47434500959255
1997.80414438818	0	16.67189167433
1997.90077698106	0	81.3070479768396
1997.99740957394	0	103.705977322762
1998.09404216682	0	160.627319538404
1998.1906747597	0	192.616279455988
1998.28730735258	0	224.631891292204
1998.38393994546	0	256.013978322588
1998.48057253834	0	288.742336208988
1998.57720513122	0	320.836803179741
1998.67383772411	0	334.611535352327
1998.77047031699	0	347.538521266561
1998.86710290987	80.4398906782659	374.095884773273
1998.96373550275	85.5671060704341	382.32194214923
1999.06036809563	115.867821861471	408.018459840614
1999.15700068851	98.5312901111025	404.581560620686
1999.25363328139	104.123192363946	415.434463822097
1999.35026587427	126.665250383172	471.312446878069
1999.44689846716	115.307977401466	481.784629013475
1999.54353106004	136.453019370684	500.225916329755
1999.64016365292	185.66548150679	562.701826559864
1999.7367962458	163.600250356529	598.600633645367
1999.83342883868	185.928452581586	679.933857269627
1999.93006143156	208.271466331507	740.074567617635
2000.02669402444	268.371024722924	799.211719704242
2000.12332661732	246.694613572883	852.377682261456
2000.2199592102	280.787417442549	961.510637785266
2000.31659180309	310.645800920712	990.120675305231
2000.41322439597	365.871581989076	1062.99080518471
2000.50985698885	361.151474162	1117.16154705218
2000.60648958173	410.697894572113	1180.46700626939
2000.70312217461	460.108904008899	1395.78513574489
2000.79975476749	486.479384908644	1469.8810695221
2000.89638736037	575.300656741629	1614.08200442406
2000.99301995325	688.028759189153	2333.6716020697
2001.08965254613	804.576822464834	2542.44308667627
2001.18628513902	962.303912053744	2683.95817495491
2001.2829177319	1120.16088103111	2903.49932566646
2001.37955032478	1330.14953299832	3072.96074396246
2001.47618291766	1759.44899890671	3274.04015074878
2001.57281551054	2400.98248803755	3742.43160886966
2001.66944810342	2814.01497796131	4026.27728640074
2001.7660806963	3280.8690230649	4299.45716646105
2001.86271328918	3311.54011209946	4394.18857387335
2001.95934588207	3378.98478523113	4519.51499219985
2002.05597847495	3521.29201143026	4841.5228447115
2002.15261106783	3683.23965527085	5191.97418848548
2002.24924366071	3883.42352327856	5556.48967181242
2002.34587625359	4326.51563519543	6117.76157659174
2002.44250884647	4587.27648546471	6499.6861710515
2002.53914143935	4704.64624647616	6665.99604005417
2002.63577403223	4913.21964375952	7044.89568011243
2002.73240662511	5344.94593634818	7424.50690475937
2002.829039218	5845.70201019251	7804.59803844304
2002.92567181088	6765.35277077545	8210.96016418488
2003.02230440376	7666.53026685011	8677.26597957485
2003.11893699664	7666.53026685011	8677.26597957485
2003.21556958952	7666.53026685011	8677.26597957485
2003.3122021824	7666.53026685011	8677.26597957485
2003.40883477528	7666.53026685011	8677.26597957485
2003.50546736816	7666.53026685011	8677.26597957485
2003.60209996104	7666.53026685011	8677.26597957485
2003.69873255393	7666.53026685011	8677.26597957485
2003.79536514681	7666.53026685011	8677.26597957485
2003.89199773969	7666.53026685011	8677.26597957485
2003.98863033257	7666.53026685011	8677.26597957485
2004.08526292545	7666.53026685011	8677.26597957485
2004.18189551833	7666.53026685011	8677.26597957485
2004.27852811121	7666.53026685011	8677.26597957485
2004.37516070409	7666.53026685011	8677.26597957485
2004.47179329698	7666.53026685011	8677.26597957485
2004.56842588986	7684.08325867174	8709.47829734819
2004.66505848274	7688.42405382295	8709.47829734819
2004.76169107562	7688.42405382295	8709.47829734819
2004.8583236685	7688.42405382295	8709.47829734819
2004.95495626138	7807.98431334772	8807.9227327709
2005.05158885426	7848.07283689484	8807.9227327709
2005.14822144714	7848.07283689484	8807.9227327709
2005.24485404002	7848.07283689484	8807.9227327709
2005.34148663291	7848.07283689484	8887.41357155609
2005.43811922579	7688.42405382295	8827.81835540569
2005.53475181867	7848.07283689484	9010.69120998942
2005.63138441155	7848.07283689484	9063.31617690638
2005.72801700443	7873.28203666429	9191.12425293309
2005.82464959731	7952.62880657711	9317.6322506117
2005.92128219019	7952.62880657711	9317.6322506117
2006.01791478307	7952.62880657711	9317.6322506117
2006.11454737595	7952.62880657711	9317.6322506117
2006.21117996884	7952.62880657711	9317.6322506117
2006.30781256172	7952.62880657711	9317.6322506117
2006.4044451546	7952.62880657711	9317.6322506117
2006.50107774748	7952.62880657711	9317.6322506117
2006.59771034036	7873.28203666429	9317.6322506117
2006.69434293324	7873.28203666429	9317.6322506117
2006.79097552612	7873.28203666429	9317.6322506117
2006.887608119	7873.28203666429	9317.6322506117
2006.98424071188	7873.28203666429	9317.6322506117
2007.08087330477	7873.28203666429	9317.6322506117
2007.17750589765	7873.28203666429	9317.6322506117
2007.27413849053	7952.62880657711	9317.6322506117
2007.37077108341	7952.62880657711	9317.6322506117
2007.46740367629	7952.62880657711	9317.6322506117
2007.56403626917	7952.62880657711	9486.91383745258
2007.66066886205	7952.62880657711	9536.05802840273
2007.75730145493	7688.42405382295	9451.91280997266
2007.85393404782	7688.42405382295	9496.10653383131
2007.9505666407	7688.42405382295	9708.03036514626
2008.04719923358	7952.62880657711	10144.5566318017
2008.14383182646	7952.62880657711	10317.6222373242
2008.24046441934	7952.62880657711	10491.3894778324
2008.33709701222	7952.62880657711	10842.7447008067
2008.4337296051	7953.1843313834	11147.0590182055
2008.53036219798	8019.43063360983	11441.8658884973
2008.62699479086	7688.42405382295	11288.4243736801
2008.72362738375	8019.43063360983	11959.0212304601
2008.82025997663	7953.1843313834	12109.0115984591
2008.91689256951	8019.43063360983	12561.1207549143
2009.01352516239	7688.42405382295	12536.8762035365
2009.11015775527	7688.42405382295	12683.9191448344
2009.20679034815	8022.94799618525	13083.1397256177
2009.30342294103	8022.94799618525	13083.1397256177
2009.40005553391	8022.94799618525	13252.3417013734
2009.4966881268	8304.39185505404	13617.8232732555
2009.59332071968	8377.63505455338	13641.2842745701
2009.68995331256	8304.70096578693	13727.2284507613
2009.78658590544	8354.42496186192	13625.5681930154
2009.88321849832	8377.63505455338	13625.5681930154
2009.9798510912	8377.63505455338	13625.5681930154
2010.07648368408	8377.63505455338	13625.5681930154
2010.17311627696	8626.12389632136	13883.1515923599
2010.26974886984	8790.6629087268	13883.1515923599
2010.36638146273	8967.245922289	13742.3488720404
2010.46301405561	9343.68624682176	13949.8197200578
2010.55964664849	9546.60613523071	13949.8197200578
2010.65627924137	9930.36300481805	14107.5176828413
2010.75291183425	9934.92674497329	13949.8197200578
2010.84954442713	10357.6502160247	13949.8197200578
2010.94617702001	10571.1656427134	13949.8197200578
2011.04280961289	10723.2560665095	13883.1515923599
2011.13944220577	11122.9679490174	13949.8197200578
2011.23607479866	11552.7861797708	13949.8197200578
2011.33270739154	12028.5127553912	14107.6038904519
2011.42933998442	12405.069924197	14417.5823200383
2011.5259725773	12826.3967714836	14756.0704632655
2011.62260517018	13243.6158909555	15083.0269014898
2011.71923776306	13614.825103334	15405.6827574947
2011.81587035594	13932.5043051498	15723.3943917095
2011.91250294882	14234.5951918647	15995.4507049187
2012.0091355417	14543.9290835584	16281.8464890125
2012.10576813459	14835.1890935994	16555.1717317141
2012.20240072747	15156.1483667976	16813.6214418059
2012.29903332035	15489.6882198724	17062.8005832288
2012.39566591323	15732.7363795972	17277.6969361363
2012.49229850611	15947.7360547524	17478.7979189818
2012.58893109899	15947.7360547524	17478.7979189818
2012.68556369187	15947.7360547524	17478.7979189818
2012.78219628475	15947.7360547524	17478.7979189818
2012.87882887764	15947.7360547524	17478.7979189818
2012.97546147052	15947.7360547524	17478.7979189818
2013.0720940634	15947.7360547524	17478.7979189818
2013.16872665628	15947.7360547524	17478.7979189818
2013.26535924916	15947.7360547524	17478.7979189818
2013.36199184204	15947.7360547524	17478.7979189818
2013.45862443492	15947.7360547524	17478.7979189818
2013.5552570278	15947.7360547524	17478.7979189818
2013.65188962068	15947.7360547524	17478.7979189818
2013.74852221357	15947.7360547524	17478.7979189818
2013.84515480645	15947.7360547524	17478.7979189818
2013.94178739933	15947.7360547524	17478.7979189818
2014.03841999221	15947.7360547524	17478.7979189818
2014.13505258509	15947.7360547524	17478.7979189818
2014.23168517797	15947.7360547524	17478.7979189818
2014.32831777085	15947.7360547524	17478.7979189818
2014.42495036373	15947.7360547524	17478.7979189818
2014.52158295661	15947.7360547524	17478.7979189818
2014.6182155495	15947.7360547524	17478.7979189818
2014.71484814238	15947.7360547524	17478.7979189818
2014.81148073526	15947.7360547524	17478.7979189818
2014.90811332814	15947.7360547524	17478.7979189818
2015.00474592102	15947.7360547524	17478.7979189818
2015.1013785139	15947.7360547524	17478.7979189818
2015.19801110678	15947.7360547524	17478.7979189818
2015.29464369966	15947.7360547524	17478.7979189818
2015.39127629255	15947.7360547524	17478.7979189818
2015.48790888543	15947.7360547524	17478.7979189818
2015.58454147831	15947.7360547524	17478.7979189818
2015.68117407119	15947.7360547524	17478.7979189818
2015.77780666407	15947.7360547524	17478.7979189818
2015.87443925695	15947.7360547524	17478.7979189818
2015.97107184983	15947.7360547524	17478.7979189818
2016.06770444271	15947.7360547524	17478.7979189818
2016.16433703559	15947.7360547524	17478.7979189818
2016.26096962848	15947.7360547524	17478.7979189818
2016.35760222136	15947.7360547524	17478.7979189818
2016.45423481424	15947.7360547524	17478.7979189818
2016.55086740712	15947.7360547524	17478.7979189818
2016.6475	15947.7360547524	17478.7979189818
