node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
35,6,11.2333057585018,36.8382038703301,1.72012039714003,36.0052657244226,0.796658994193543,11.2333057585018,0,1947.53465380876,1958.76795956726,MN072619.1
35,36,11.0538774560356,36.8382038703301,1.72012039714003,36.6593567190071,1.3449311031125,11.0538774560356,0,1947.53465380876,1958.58853126479,NA
36,7,0.108135118381718,36.6593567190071,1.3449311031125,36.5549838527938,1.74193793009311,11.1620125744173,11.0538774560356,1958.58853126479,1958.69666638317,AF325528.1
36,37,12.215898210041,36.6593567190071,1.3449311031125,39.8162950394808,-2.43114204129055,23.2697756660766,11.0538774560356,1958.58853126479,1970.80442947483,NA
37,8,4.58899139187045,39.8162950394808,-2.43114204129055,38.8906411618861,-2.84457232125007,27.8587670579471,23.2697756660766,1970.80442947483,1975.3934208667,KX683219.1
37,38,5.33305939558576,39.8162950394808,-2.43114204129055,52.8829735510858,6.45009586153224,28.6028350616624,23.2697756660766,1970.80442947483,1976.13748887042,NA
38,43,17.0749393203851,52.8829735510858,6.45009586153224,52.5163325656535,7.91536483133176,45.6777743820474,28.6028350616624,1976.13748887042,1993.2124281908,NA
43,44,0.589642701714112,52.5163325656535,7.91536483133176,52.4022627143228,7.2815475778201,46.2674170837615,45.6777743820474,1993.2124281908,1993.80207089252,NA
44,66,4.77461593727033,52.4022627143228,7.2815475778201,26.0953432114634,-25.2806876564171,51.0420330210319,46.2674170837615,1993.80207089252,1998.57668682979,NA
66,67,1.07326594903844,26.0953432114634,-25.2806876564171,27.0606161177295,-24.5045159531996,52.1152989700703,51.0420330210319,1998.57668682979,1999.64995277883,NA
67,9,0.826527372976383,27.0606161177295,-24.5045159531996,28.2703532846211,-24.8680162096431,52.9418263430467,52.1152989700703,1999.64995277883,2000.4764801518,AF409137.1
44,45,15.0883201990372,52.4022627143228,7.2815475778201,39.4459138469921,42.4345582164884,61.3557372827988,46.2674170837615,1993.80207089252,2008.89039109155,NA
45,46,0.783539425011041,39.4459138469921,42.4345582164884,37.881166007821,39.8393356163259,62.1392767078098,61.3557372827988,2008.89039109155,2009.67393051657,NA
45,49,2.77263153439131,39.4459138469921,42.4345582164884,23.2269325601947,42.4438402556929,64.1283688171901,61.3557372827988,2008.89039109155,2011.66302262595,NA
46,48,2.39739414077556,37.881166007821,39.8393356163259,36.5232716599052,39.7143053032777,64.5366708485854,62.1392767078098,2009.67393051657,2012.07132465734,NA
48,30,1.39315621697572,36.5232716599052,39.7143053032777,34.7959946694436,30.8946121671472,65.9298270655611,64.5366708485854,2012.07132465734,2013.46448087432,KX894508.1
46,47,4.63920540356863,37.881166007821,39.8393356163259,45.6222496182527,42.188717006399,66.7784821113785,62.1392767078098,2009.67393051657,2014.31313592013,NA
49,50,3.24050838992989,23.2269325601947,42.4438402556929,26.559382053241,42.3423099772194,67.36887720712,64.1283688171901,2011.66302262595,2014.90353101588,NA
49,51,3.28946172850466,23.2269325601947,42.4438402556929,22.5998758940853,42.2978062601707,67.4178305456947,64.1283688171901,2011.66302262595,2014.95248435445,NA
51,52,0.114815113036262,22.5998758940853,42.2978062601707,22.1205543047174,42.2134842757575,67.532645658731,67.4178305456947,2014.95248435445,2015.06729946749,NA
48,33,3.04237397279574,36.5232716599052,39.7143053032777,35.6389030353484,40.1745210647639,67.5790448213811,64.5366708485854,2012.07132465734,2015.11369863014,MN995838.1
52,55,0.0744313227813036,22.1205543047174,42.2134842757575,21.9728793751265,42.1057088349624,67.6070769815123,67.532645658731,2015.06729946749,2015.14173079027,NA
38,39,39.2565204758832,52.8829735510858,6.45009586153224,83.9861231979398,22.5011047952037,67.8593555375456,28.6028350616624,1976.13748887042,2015.3940093463,NA
47,32,1.34036804398133,45.6222496182527,42.188717006399,45.7807169908875,42.3381397242823,68.1188501553598,66.7784821113785,2014.31313592013,2015.65350396412,MH893760.2
52,53,0.618312996671164,22.1205543047174,42.2134842757575,20.9020322825542,40.0623239934979,68.1509586554022,67.532645658731,2015.06729946749,2015.68561246416,NA
53,54,0.152100308157175,20.9020322825542,40.0623239934979,20.8411456886499,40.0817385257637,68.3030589635594,68.1509586554022,2015.68561246416,2015.83771277232,NA
55,56,0.856811966663757,21.9728793751265,42.1057088349624,20.6552029328147,41.4876459239871,68.4638889481761,67.6070769815123,2015.14173079027,2015.99854275693,NA
56,58,0.0475075572194976,20.6552029328147,41.4876459239871,20.7658124390759,41.5371729921601,68.5113965053956,68.4638889481761,2015.99854275693,2016.04605031415,NA
56,57,0.122647181828566,20.6552029328147,41.4876459239871,20.5049687987059,41.2599463265135,68.5865361300046,68.4638889481761,2015.99854275693,2016.12118993876,NA
58,64,0.193340510761495,20.7658124390759,41.5371729921601,20.6862288905473,42.3245235640217,68.7047370161571,68.5113965053956,2016.04605031415,2016.23939082491,NA
58,59,0.317952614499553,20.7658124390759,41.5371729921601,20.8475597128093,41.7209923056702,68.8293491198951,68.5113965053956,2016.04605031415,2016.36400292865,NA
51,28,1.43244715239885,22.5998758940853,42.2978062601707,23.5350808313455,40.4181770716946,68.8502776980936,67.4178305456947,2014.95248435445,2016.38493150685,GRC715
59,60,0.0915362496491321,20.8475597128093,41.7209923056702,20.8151260014521,41.7584769686755,68.9208853695443,68.8293491198951,2016.36400292865,2016.4555391783,NA
60,61,0.0674796958753481,20.8151260014521,41.7584769686755,20.9145435009107,41.8384844618454,68.9883650654196,68.9208853695443,2016.4555391783,2016.52301887418,NA
