node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,treeID
82,83,3.09151943361624,-10.1433476362651,-75.2974361611694,-9.96674538830359,-75.2973905123461,3.09151943361624,0,1982.66896384096,1985.76048327458,19.6600466073614,46710000
82,119,2.75278121647359,-10.1433476362651,-75.2974361611694,-10.1115445466378,-75.3244571483786,2.75278121647359,0,1982.66896384096,1985.42174505743,4.61557303562527,46710000
83,1,18.572851447634,-9.96674538830359,-75.2973905123461,-11.08619,-74.57057,21.6643708812503,3.09151943361624,1985.76048327458,2004.33333472221,147.846103147732,46710000
83,84,0.319021116023354,-9.96674538830359,-75.2973905123461,-9.96638083089337,-75.2908858424063,3.4105405496396,3.09151943361624,1985.76048327458,1986.0795043906,0.714350980062008,46710000
84,85,2.37528543732562,-9.96638083089337,-75.2908858424063,-6.51361318044161,-76.8127414251976,5.78582598696521,3.4105405496396,1986.0795043906,1988.45478982793,419.343052757821,46710000
84,37,14.7538261649788,-9.96638083089337,-75.2908858424063,-10.07908,-73.97162,18.1643667146183,3.4105405496396,1986.0795043906,2000.83333055558,145.167474006809,46710000
85,2,22.6285469776011,-6.51361318044161,-76.8127414251976,-7.37245,-76.8218,28.4143729645663,5.78582598696521,1988.45478982793,2011.08333680553,95.6142800742386,46710000
85,86,1.10780551673371,-6.51361318044161,-76.8127414251976,-6.61388386039971,-76.8220440214915,6.89363150369893,5.78582598696521,1988.45478982793,1989.56259534466,11.2098311875005,46710000
86,87,0.0261185326639541,-6.61388386039971,-76.8220440214915,-6.6152797983976,-76.8187573884329,6.91975003636288,6.89363150369893,1989.56259534466,1989.58871387732,0.39527453647541,46710000
86,36,10.3540678498141,-6.61388386039971,-76.8220440214915,-6.89391,-76.33832,17.2476993535131,6.89363150369893,1989.56259534466,1999.91666319447,61.8991547071703,46710000
87,88,2.16180218609298,-6.6152797983976,-76.8187573884329,-6.47895342991133,-77.8720902112795,9.08155222245587,6.91975003636288,1989.58871387732,1991.75051606342,117.480692250675,46710000
87,108,1.73071597263898,-6.6152797983976,-76.8187573884329,-6.4616756732038,-76.4906978622963,8.65046600900186,6.91975003636288,1989.58871387732,1991.31942984996,40.1108604295345,46710000
88,103,4.33633659757519,-6.47895342991133,-77.8720902112795,-8.96577627309094,-76.0233296730406,13.4178888200311,9.08155222245587,1991.75051606342,1996.08685266099,343.843523206128,46710000
88,89,0.0757546488917242,-6.47895342991133,-77.8720902112795,-6.17754532931419,-77.8077267627873,9.15730687134759,9.08155222245587,1991.75051606342,1991.82627071231,34.3013319927641,46710000
89,101,16.0215427308229,-6.17754532931419,-77.8077267627873,-5.18692824221918,-79.0201650273162,25.1788496021704,9.15730687134759,1991.82627071231,2007.84781344313,173.782235867101,46710000
89,90,6.93297056098775,-6.17754532931419,-77.8077267627873,-5.73762940566235,-77.3507650400805,16.0902774323353,9.15730687134759,1991.82627071231,1998.7592412733,70.4152711174653,46710000
90,14,13.2407545600724,-5.73762940566235,-77.3507650400805,-5.92172,-77.2943,29.3310319924078,16.0902774323353,1998.7592412733,2011.99999583337,21.4265203025749,46710000
90,91,3.19365999655122,-5.73762940566235,-77.3507650400805,-5.57282159899134,-78.0363926728182,19.2839374288866,16.0902774323353,1998.7592412733,2001.95290126985,78.1396594884293,46710000
91,92,3.89363210435924,-5.57282159899134,-78.0363926728182,-5.32296440797592,-78.2149267585068,23.1775695332458,19.2839374288866,2001.95290126985,2005.84653337421,34.1340988924219,46710000
91,94,3.8581188604799,-5.57282159899134,-78.0363926728182,-6.05518260724897,-78.2290896751536,23.1420562893665,19.2839374288866,2001.95290126985,2005.81102013033,57.7837403688403,46710000
92,5,4.40346870910976,-5.32296440797592,-78.2149267585068,-6.17865,-75.9955,27.5810382423556,23.1775695332458,2005.84653337421,2010.25000208332,263.640115909303,46710000
92,93,3.30853520630559,-5.32296440797592,-78.2149267585068,-5.32139693709166,-78.2242352868086,26.4861047395514,23.1775695332458,2005.84653337421,2009.15506858051,1.04644537370074,46710000
93,4,2.76159461396168,-5.32139693709166,-78.2242352868086,-5.198996,-78.28709,29.2476993535131,26.4861047395514,2009.15506858051,2011.91666319447,15.3042984065062,46710000
93,3,2.59492933617225,-5.32139693709166,-78.2242352868086,-5.02819422430829,-78.3079283841086,29.0810340757236,26.4861047395514,2009.15506858051,2011.74999791668,33.9337672152153,46710000
94,6,4.68897986967325,-6.05518260724897,-78.2290896751536,-6.00062,-78.14268,27.8310361590397,23.1420562893665,2005.81102013033,2010.5,11.3317475303854,46710000
94,95,2.80071325912253,-6.05518260724897,-78.2290896751536,-6.2430753974076,-78.4167036864381,25.942769548489,23.1420562893665,2005.81102013033,2008.61173338945,29.4743090046334,46710000
95,97,0.698279424779797,-6.2430753974076,-78.4167036864381,-6.17003225456095,-78.4043166320148,26.6410489732688,25.942769548489,2008.61173338945,2009.31001281423,8.24619610155388,46710000
95,96,2.00087688621622,-6.2430753974076,-78.4167036864381,-5.2288973029605,-78.8059726230397,27.9436464347052,25.942769548489,2008.61173338945,2010.61261027567,120.855373200282,46710000
96,7,1.13738764101842,-5.2288973029605,-78.8059726230397,-5.19408,-78.7989,29.0810340757236,27.9436464347052,2010.61261027567,2011.74999791668,3.95451142052886,46710000
96,8,1.05405500212393,-5.2288973029605,-78.8059726230397,-4.98198,-78.75649,28.9977014368291,27.9436464347052,2010.61261027567,2011.66666527779,28.030035698731,46710000
