node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km
442,443,259.794403619006,6.99518493692758,-9.50957797896067,11.3251516261657,-3.96548341832378,808.845402758422,549.050999139416,1656.23981450709,1916.03421812609,776.803430282011
443,444,77.5671042030478,11.3251516261657,-3.96548341832378,11.244610927302,-3.93984165615928,886.41250696147,808.845402758422,1916.03421812609,1993.60132232914,9.3929420253158
444,445,1.19588262037857,11.244610927302,-3.93984165615928,11.2494797347271,-3.93910558110289,887.608389581848,886.41250696147,1993.60132232914,1994.79720494952,0.547940592563588
445,446,6.04127099775054,11.2494797347271,-3.93910558110289,11.2443535631679,-3.94041235859427,893.649660579599,887.608389581848,1994.79720494952,2000.83847594727,0.588232050304936
446,447,4.36342157934622,11.2443535631679,-3.94041235859427,11.2469827814904,-3.9493641613678,898.013082158945,893.649660579599,2000.83847594727,2005.20189752662,1.02029971919979
447,192,4.74844403128873,11.2469827814904,-3.9493641613678,11.2516687187441,-3.94574205101341,902.761526190234,898.013082158945,2005.20189752662,2009.95034155791,0.654622332911123
447,193,6.96741918870574,11.2469827814904,-3.9493641613678,11.2430790910441,-3.93918968661007,904.980501347651,898.013082158945,2005.20189752662,2012.16931671532,1.19289217966486
446,194,8.81218261397613,11.2443535631679,-3.94041235859427,11.2313771812553,-3.94265122392502,902.461843193575,893.649660579599,2000.83847594727,2009.65065856125,1.46511957470306
445,190,14.4485433364204,11.2494797347271,-3.93910558110289,11.2386906982546,-3.94586690430419,902.056932918269,887.608389581848,1994.79720494952,2009.24574828594,1.40982206383114
444,191,18.5679943861811,11.244610927302,-3.93984165615928,11.2560016907223,-3.91840473077969,904.980501347651,886.41250696147,1993.60132232914,2012.16931671532,2.66201437688142
443,448,57.4693657620745,11.3251516261657,-3.96548341832378,11.3036240293617,-3.97149828031944,866.314768520497,808.845402758422,1916.03421812609,1973.50358388817,2.48485111855491
448,195,38.7282228013614,11.3036240293617,-3.97149828031944,11.1582293798752,-3.99842313738193,905.042991321858,866.314768520497,1973.50358388817,2012.23180668953,16.4507350466848
448,196,38.7249265383831,11.3036240293617,-3.97149828031944,11.3184024196515,-3.97566734945112,905.03969505888,866.314768520497,1973.50358388817,2012.22851042655,1.70697407036389
442,449,113.343431984876,6.99518493692758,-9.50957797896067,7.00205149933839,-9.5209122366267,662.394431124293,549.050999139416,1656.23981450709,1769.58324649196,1.46722936539599
449,450,54.3511771369694,7.00205149933839,-9.5209122366267,6.25856953503597,-9.44503589449139,716.745608261262,662.394431124293,1769.58324649196,1823.93442362893,83.1914744787188
450,197,179.208178714618,6.25856953503597,-9.44503589449139,6.28986861081819,-9.44471593627432,895.95378697588,716.745608261262,1823.93442362893,2003.14260234355,3.48451417242269
