node1,node2,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,treeID
1,2,40.9432775779508,-73.7972974934222,41.264276687459,-73.7474927140258,3.59479808350443,0,1999,2002.5947980835,35.9782554289785,-9999
1,3,40.9432775779508,-73.7972974934222,40.9054382590036,-73.6683505428612,0.484599589322443,0,1999,1999.48459958932,11.6354699591482,-9999
3,4,40.9054382590036,-73.6683505428612,40.8889873375211,-73.6837995498772,0.511978097193605,0.484599589322443,1999.48459958932,1999.51197809719,2.24587728549325,-9999
3,5,40.9054382590036,-73.6683505428612,40.8848691473667,-73.6233826045012,0.591375770020477,0.484599589322443,1999.48459958932,1999.59137577002,4.42296536954949,-9999
5,8,40.8848691473667,-73.6233826045012,40.9642597601624,-73.5215067143269,0.788501026694121,0.591375770020477,1999.59137577002,1999.78850102669,12.3102060717501,-9999
5,9,40.8848691473667,-73.6233826045012,40.9908971734155,-73.5748711085815,0.791238877481192,0.591375770020477,1999.59137577002,1999.79123887748,12.4885897630935,-9999
8,10,40.9642597601624,-73.5215067143269,40.9459539346484,-73.477796242785,0.991101984941906,0.788501026694121,1999.78850102669,1999.99110198494,4.20214891948477,-9999
9,12,40.9908971734155,-73.5748711085815,40.9900017302968,-73.5528971794606,1.21560574948671,0.791238877481192,1999.79123887748,2000.21560574949,1.8491441644197,-9999
12,17,40.9900017302968,-73.5528971794606,40.9994346156729,-73.5248398244594,1.46748802190291,1.21560574948671,2000.21560574949,2000.4674880219,2.58078977726989,-9999
17,19,40.9994346156729,-73.5248398244594,40.9973704159958,-73.5139442875031,1.47296372347705,1.46748802190291,2000.4674880219,2000.47296372348,0.943835856778015,-9999
10,15,40.9459539346484,-73.477796242785,40.5342057931088,-72.9076733499311,1.5304585900069,0.991101984941906,1999.99110198494,2000.53045859001,66.4344260518668,-9999
19,21,40.9973704159958,-73.5139442875031,41.0017779723013,-73.5012886760397,1.6673511293634,1.47296372347705,2000.47296372348,2000.66735112936,1.17104710777367,-9999
21,25,41.0017779723013,-73.5012886760397,41.0166554838916,-73.5164150848282,1.76865160848729,1.6673511293634,2000.66735112936,2000.76865160849,2.08752295627567,-9999
9,13,40.9908971734155,-73.5748711085815,41.6576556659173,-73.8303310828218,1.81519507186863,0.791238877481192,1999.79123887748,2000.81519507187,77.2374733699811,-9999
17,18,40.9994346156729,-73.5248398244594,41.2417245676679,-73.3098248293866,1.94661190965098,1.46748802190291,2000.4674880219,2000.94661190965,32.4448862321055,-9999
18,30,41.2417245676679,-73.3098248293866,41.1657559802748,-73.4280669607495,2.11635865845301,1.94661190965098,2000.94661190965,2001.11635865845,13.0232130099179,-9999
25,27,41.0166554838916,-73.5164150848282,40.5316576725,-72.9527709370529,2.13278576317589,1.76865160848729,2000.76865160849,2001.13278576318,71.9235570947021,-9999
30,32,41.1657559802748,-73.4280669607495,41.1828228482086,-73.4246097627286,2.14099931553733,2.11635865845301,2001.11635865845,2001.14099931554,1.92190849910329,-9999
19,20,40.9973704159958,-73.5139442875031,40.9902725752218,-73.439859033072,2.1820670773443,1.47296372347705,2000.47296372348,2001.18206707734,6.27496649087927,-9999
8,11,40.9642597601624,-73.5215067143269,42.337837134751,-78.2345575867149,2.19028062970574,0.788501026694121,1999.78850102669,2001.19028062971,420.731143825057,-9999
4,7,40.8889873375211,-73.6837995498772,40.6272433334222,-76.7919835754336,2.2176591375769,0.511978097193605,1999.51197809719,2001.21765913758,263.697305601694,-9999
21,24,41.0017779723013,-73.5012886760397,40.7308173090111,-73.6009686212402,2.26420260095824,1.6673511293634,2000.66735112936,2001.26420260096,31.3099379721689,-9999
24,39,40.7308173090111,-73.6009686212402,40.7274493359101,-73.5970442169138,2.28062970568112,2.26420260095824,2001.26420260096,2001.28062970568,0.500183331360042,-9999
15,23,40.5342057931088,-72.9076733499311,40.5148992577246,-73.0541681541003,2.3326488706366,1.5304585900069,2000.53045859001,2001.33264887064,12.5813794472249,-9999
18,31,41.2417245676679,-73.3098248293866,41.220712973083,-73.3353813876215,2.35181382614655,1.94661190965098,2000.94661190965,2001.35181382615,3.17008083045891,-9999
39,41,40.7274493359101,-73.5970442169138,40.7029671649315,-73.5913624456194,2.3709787816565,2.28062970568112,2001.28062970568,2001.37097878166,2.76729553919762,-9999
23,42,40.5148992577246,-73.0541681541003,40.4170923746619,-73.0469487173373,2.54072553045853,2.3326488706366,2001.33264887064,2001.54072553046,10.905395632987,-9999
42,46,40.4170923746619,-73.0469487173373,40.4089703688584,-73.0254666486651,2.75427789185483,2.54072553045853,2001.54072553046,2001.75427789185,2.03297607089009,-9999
11,37,42.337837134751,-78.2345575867149,42.3325177739763,-78.2448009853675,2.7597535934292,2.19028062970574,2001.19028062971,2001.75975359343,1.03016592113248,-9999
15,22,40.5342057931088,-72.9076733499311,40.6037709715422,-72.9666446039749,2.85010266940458,1.5304585900069,2000.53045859001,2001.8501026694,9.21099256207548,-9999
24,38,40.7308173090111,-73.6009686212402,40.7257304001773,-73.6534052278058,2.8720054757016,2.26420260095824,2001.26420260096,2001.8720054757,4.45978876007278,-9999
42,47,40.4170923746619,-73.0469487173373,40.3079642670479,-72.9658800452032,2.92676249144415,2.54072553045853,2001.54072553046,2001.92676249144,13.9597769754859,-9999
22,51,40.6037709715422,-72.9666446039749,40.6777544952245,-72.9196261132877,3.02532511978097,2.85010266940458,2001.8501026694,2002.02532511978,9.14380545555689,-9999
31,45,41.220712973083,-73.3353813876215,41.2474322374577,-73.2865244259551,3.03901437371655,2.35181382614655,2001.35181382615,2002.03901437372,5.05741464632097,-9999
45,57,41.2474322374577,-73.2865244259551,41.244352817833,-73.2927600233999,3.06365503080087,3.03901437371655,2002.03901437372,2002.0636550308,0.624451814366294,-9999
