node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
35,36,45.3567353655847,36.5755848036209,4.88168524627942,15.931433656733,16.2749211019846,45.3567353655847,0,1946.79887409519,1992.15560946078,NA
35,61,4.45034951959103,36.5755848036209,4.88168524627942,33.4744747476432,4.41938555889893,4.45034951959103,0,1946.79887409519,1951.24922361478,NA
61,63,5.47519383126657,33.4744747476432,4.41938555889893,33.7794519967702,1.73863437892588,9.92554335085759,4.45034951959103,1951.24922361478,1956.72441744605,NA
61,62,6.6905269370666,33.4744747476432,4.41938555889893,34.7809566458729,6.16910390986749,11.1408764566576,4.45034951959103,1951.24922361478,1957.93975055185,NA
63,7,2.29664821679549,33.7794519967702,1.73863437892588,35.2180677490585,1.11640742473542,12.2221915676531,9.92554335085759,1956.72441744605,1959.02106566284,AF325528.1
62,6,1.13727091704241,34.7809566458729,6.16910390986749,34.9984969621543,4.8610968736138,12.2781473737,11.1408764566576,1957.93975055185,1959.07702146889,MN072619.1
62,8,17.2250082515796,34.7809566458729,6.16910390986749,35.7421449318253,2.11293883446981,28.3658847082372,11.1408764566576,1957.93975055185,1975.16475880343,KX683219.1
36,37,1.52285929269567,15.931433656733,16.2749211019846,16.940647172587,15.3717569700872,46.8795946582803,45.3567353655847,1992.15560946078,1993.67846875347,NA
37,59,4.99621331838991,16.940647172587,15.3717569700872,27.847098280099,-21.486641536213,51.8758079766702,46.8795946582803,1993.67846875347,1998.67468207186,NA
59,60,1.35935033470068,27.847098280099,-21.486641536213,28.2100997579158,-24.6952793814407,53.2351583113709,51.8758079766702,1998.67468207186,2000.03403240656,NA
60,9,0.0974312124024017,28.2100997579158,-24.6952793814407,28.2703532846211,-24.8680162096431,53.3325895237733,53.2351583113709,2000.03403240656,2000.13146361896,AF409137.1
37,38,13.6707063716745,16.940647172587,15.3717569700872,49.6119654220752,47.9059016078616,60.5503010299549,46.8795946582803,1993.67846875347,2007.34917512515,NA
38,39,3.00506390471724,49.6119654220752,47.9059016078616,29.5416600356329,49.253915250015,63.5553649346721,60.5503010299549,2007.34917512515,2010.35423902986,NA
39,42,1.15007424232407,29.5416600356329,49.253915250015,29.1552962153039,43.4004315205204,64.7054391769962,63.5553649346721,2010.35423902986,2011.50431327219,NA
39,40,2.30742605852051,29.5416600356329,49.253915250015,31.7099073601802,37.7687095491565,65.8627909931926,63.5553649346721,2010.35423902986,2012.66166508838,NA
42,44,1.85363109948107,29.1552962153039,43.4004315205204,23.3548614866339,42.9649746355735,66.5590702764773,64.7054391769962,2011.50431327219,2013.35794437167,NA
40,30,0.802815785933788,31.7099073601802,37.7687095491565,35.2776220430432,31.3875902339552,66.6656067791264,65.8627909931926,2012.66166508838,2013.46448087432,KX894508.1
44,45,0.984153518771246,23.3548614866339,42.9649746355735,22.8751344285213,41.1590834605584,67.5432237952485,66.5590702764773,2013.35794437167,2014.34209789044,NA
40,41,1.7279927772636,31.7099073601802,37.7687095491565,37.5835814158781,39.9175747642303,67.5907837704562,65.8627909931926,2012.66166508838,2014.38965786565,NA
45,46,0.0938325756488059,22.8751344285213,41.1590834605584,22.8931661424905,41.4880807839288,67.6370563708973,67.5432237952485,2014.34209789044,2014.43593046609,NA
63,64,58.0125766848242,33.7794519967702,1.73863437892588,88.5294355416792,24.4288454440837,67.9381200356818,9.92554335085759,1956.72441744605,2014.73699413087,NA
41,33,0.724040764490209,37.5835814158781,39.9175747642303,37.4573780817991,40.3713016434005,68.3148245349464,67.5907837704562,2014.38965786565,2015.11369863014,MN995838.1
46,47,0.801383259816127,22.8931661424905,41.4880807839288,23.3907214956253,43.3831324612696,68.4384396307134,67.6370563708973,2014.43593046609,2015.2373137259,NA
45,57,1.11827912035631,22.8751344285213,41.1590834605584,23.0457775433873,41.3791824320462,68.6615029156048,67.5432237952485,2014.34209789044,2015.4603770108,NA
47,48,0.498817663198588,23.3907214956253,43.3831324612696,21.4417448632157,42.8001294496921,68.937257293912,68.4384396307134,2015.2373137259,2015.7361313891,NA
41,32,1.36450191386761,37.5835814158781,39.9175747642303,45.715110545726,44.8880361864018,68.9552856843238,67.5907837704562,2014.38965786565,2015.75415977951,MH893760.2
64,66,1.42588331302698,88.5294355416792,24.4288454440837,87.7410427458212,23.1387247103132,69.3640033487088,67.9381200356818,2014.73699413087,2016.1628774439,NA
44,28,3.02698713518165,23.3548614866339,42.9649746355735,23.5350808313455,40.4181770716946,69.5860574116589,66.5590702764773,2013.35794437167,2016.38493150685,GRC715
48,50,0.686827526609847,21.4417448632157,42.8001294496921,21.851926311194,42.8299556334103,69.6240848205219,68.937257293912,2015.7361313891,2016.42295891571,NA
50,51,0.051331065509113,21.851926311194,42.8299556334103,21.814508546301,42.9642362151609,69.675415886031,69.6240848205219,2016.42295891571,2016.47428998122,NA
48,49,0.839805663565513,21.4417448632157,42.8001294496921,20.2861467785018,43.3039986328162,69.7770629574775,68.937257293912,2015.7361313891,2016.57593705267,NA
47,56,1.41941289929868,23.3907214956253,43.3831324612696,23.4203981798019,41.7265311806037,69.8578525300121,68.4384396307134,2015.2373137259,2016.6567266252,NA
57,58,1.28175332938432,23.0457775433873,41.3791824320462,22.2232421673294,41.3151050137614,69.9432562449891,68.6615029156048,2015.4603770108,2016.74213034018,NA
58,25,0.0447549057220273,22.2232421673294,41.3151050137614,22.2421406159986,41.409934260511,69.9880111507112,69.9432562449891,2016.74213034018,2016.7868852459,MKD5000
