node1,node2,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,length
1,2,40.9432775779508,-73.7972974934222,40.7263364378056,-74.2938511187901,1.15811088295686,0,1999,2000.15811088296,48.2953965807056,1.15811088296005
9,10,40.8704226132101,-74.0484329586331,40.9851432465069,-74.0740583463358,2.26146475017117,1.73305954825469,2000.73305954825,2001.26146475017,12.951740799954,0.528405201920123
2,5,40.7263364378056,-74.2938511187901,40.8510615599602,-74.3071118710125,2.69130732375083,1.15811088295686,2000.15811088296,2001.69130732375,13.9297964976857,1.53319644078988
9,11,40.8704226132101,-74.0484329586331,41.0977883451942,-73.8375350758775,2.73237508555781,1.73305954825469,2000.73305954825,2001.73237508556,30.8994033363741,0.999315537310167
22,24,40.6353087029762,-73.8925626407643,40.5254839902194,-73.8474184025915,3.09103353867204,2.97604380561256,2001.97604380561,2002.09103353867,12.8080759507044,0.114989733059929
10,14,40.9851432465069,-74.0740583463358,40.4253740436772,-74.1874353884814,3.11841204654343,2.26146475017117,2001.26146475017,2002.11841204654,63.0459304104555,0.856947296369981
14,31,40.4253740436772,-74.1874353884814,40.4236612177327,-74.2040138016395,3.1211498973305,3.11841204654343,2002.11841204654,2002.12114989733,1.41784284233269,0.00273785079002664
31,33,40.4236612177327,-74.2040138016395,40.544604173536,-74.0372177931387,3.43326488706361,3.1211498973305,2002.12114989733,2002.43326488706,19.5122875353491,0.312114989729935
31,32,40.4236612177327,-74.2040138016395,40.4037764692869,-74.4357867764017,3.44695414099942,3.1211498973305,2002.12114989733,2002.446954141,19.7694235312567,0.325804243670063
24,27,40.5254839902194,-73.8474184025915,40.6442513164141,-73.899279554467,3.45242984257357,3.09103353867204,2002.09103353867,2002.45242984257,13.9296821588063,0.361396303899937
33,36,40.544604173536,-74.0372177931387,40.556303448882,-74.1765371534179,3.57289527720741,3.43326488706361,2002.43326488706,2002.57289527721,11.8564449841869,0.139630390149932
36,41,40.556303448882,-74.1765371534179,40.2807635833597,-73.8139150449087,4.53661875427792,3.57289527720741,2002.57289527721,2003.53661875428,43.4218504824028,0.963723477070062
36,40,40.556303448882,-74.1765371534179,40.5950114258413,-73.9035500989169,5.37713894592753,3.57289527720741,2002.57289527721,2004.37713894593,23.4814005168802,1.80424366872012
65,72,40.6702000142594,-73.7001892503859,40.6915916052775,-73.7047811392854,5.39904175222455,5.39082819986311,2004.39082819986,2004.39904175222,2.41274132392296,0.00821355236007548
72,75,40.6915916052775,-73.7047811392854,40.5537600572991,-73.801323484407,5.63997262149223,5.39904175222455,2004.39904175222,2004.63997262149,17.3775957015277,0.24093086926996
40,71,40.5950114258413,-73.9035500989169,40.5811456951762,-73.7673055462238,5.88911704312113,5.37713894592753,2004.37713894593,2004.88911704312,11.6210966180689,0.511978097189967
40,70,40.5950114258413,-73.9035500989169,40.8943517347889,-73.9110787602251,5.92197125256666,5.37713894592753,2004.37713894593,2004.92197125257,33.3297712715395,0.544832306640046
55,88,40.5347044810296,-74.3026073753187,40.5751918613249,-74.1643461544074,5.97946611909651,5.79603011635868,2004.79603011636,2004.9794661191,12.5329176194228,0.183436002739882
71,91,40.5811456951762,-73.7673055462238,40.3534745193508,-73.8722852896104,6.41478439425055,5.88911704312113,2004.88911704312,2005.41478439425,26.8594610129339,0.525667351130096
66,87,40.2220345003668,-73.4197584741244,40.423475447933,-73.3360374924072,6.79260780287473,5.78507871321017,2004.78507871321,2005.79260780287,23.5240509112737,1.00752908966001
83,114,40.394387632476,-73.2701576059586,40.4331858963351,-73.2759332635617,7.09377138945933,7.06913073237502,2006.06913073238,2006.09377138946,4.34682747524112,0.0246406570799991
104,111,40.7164398502498,-74.0180389833108,40.5270371895972,-74.0887942692394,7.21149897330588,6.92676249144415,2005.92676249144,2006.21149897331,21.9162705813642,0.284736481869913
55,89,40.5347044810296,-74.3026073753187,40.1781206037734,-74.7374858533897,7.32101300479121,5.79603011635868,2004.79603011636,2006.32101300479,54.192053055588,1.52498288843003
72,74,40.6915916052775,-73.7047811392854,40.1054831968917,-73.9482869190886,7.55373032169746,5.39904175222455,2004.39904175222,2006.5537303217,68.4357741797174,2.15468856947996
83,115,40.394387632476,-73.2701576059586,40.110950185344,-73.4339921352082,7.68514715947981,7.06913073237502,2006.06913073238,2006.68514715948,34.4873032357597,0.616016427100021
75,81,40.5537600572991,-73.801323484407,40.4812495357535,-73.4571733260482,7.78370978781663,5.63997262149223,2004.63997262149,2006.78370978782,30.2230638098978,2.14373716633008
113,134,40.4621447920188,-73.2732860061743,40.4419012071139,-73.2133722110015,7.90143737166318,7.85763175906914,2006.85763175907,2006.90143737166,5.55323813333248,0.0438056125899493
71,90,40.5811456951762,-73.7673055462238,40.5037442223052,-73.4287194429749,7.91786447638606,5.88911704312113,2004.88911704312,2006.91786447639,29.9115714957098,2.02874743326993
98,131,39.5203712275211,-73.3482209412644,39.364596089295,-73.431579647689,7.94250513347015,7.80013689253929,2006.80013689254,2006.94250513347,18.7639360302876,0.142368240929954
90,139,40.5037442223052,-73.4287194429749,40.3726338900168,-73.4720310645088,8.1122518822724,7.91786447638606,2006.91786447639,2007.11225188227,15.0499795130536,0.194387405879979
111,119,40.5270371895972,-74.0887942692394,40.6696917195352,-74.2498474307654,8.30390143737168,7.21149897330588,2006.21149897331,2007.30390143737,20.9170891341263,1.09240246406011
111,118,40.5270371895972,-74.0887942692394,40.0615143541619,-73.9729786305318,8.32854209445577,7.21149897330588,2006.21149897331,2007.32854209446,52.7485694972338,1.11704312115012
87,107,40.423475447933,-73.3360374924072,40.68851276801,-72.7020652319364,8.42162902121845,6.79260780287473,2005.79260780287,2007.42162902122,61.2030249630241,1.62902121835009
119,161,40.6696917195352,-74.2498474307654,40.60735968049,-74.0769703789668,8.52019164955504,8.30390143737168,2007.30390143737,2007.52019164956,16.1687153364298,0.216290212189961
87,106,40.423475447933,-73.3360374924072,40.0700379873197,-73.5466782029756,8.54209445585207,6.79260780287473,2005.79260780287,2007.54209445585,43.2255757206823,1.74948665298007
107,167,40.68851276801,-72.7020652319364,40.6647566096365,-72.7969208102698,8.58042436687197,8.42162902121845,2007.42162902122,2007.58042436687,8.43383993781009,0.158795345649878
98,130,39.5203712275211,-73.3482209412644,39.3430593351333,-73.2405342663298,8.58590006844634,7.80013689253929,2006.80013689254,2007.58590006845,21.8028914272429,0.785763175910006
107,166,40.68851276801,-72.7020652319364,40.6377125070688,-72.6900076211027,8.75564681724836,8.42162902121845,2007.42162902122,2007.75564681725,5.74621237069795,0.334017796029912
155,156,40.3601501942055,-73.5589971548039,40.576349321506,-73.7964437692189,8.82956878850109,8.26830937713885,2007.26830937714,2007.8295687885,31.3635484877445,0.56125941135997
152,182,40.2740737436296,-73.9795158789595,40.2339377918952,-74.1488344179058,8.82956878850109,8.64887063655033,2007.64887063655,2007.8295687885,15.0633786693061,0.180698151949855
164,171,40.3653218656381,-73.5282255833046,40.3388876423349,-73.5064369654519,8.83230663928816,8.49007529089658,2007.4900752909,2007.83230663929,3.47516518724143,0.342231348389987
166,188,40.6377125070688,-72.6900076211027,40.4818993259936,-72.7140332196646,8.92813141683769,8.75564681724836,2007.75564681725,2007.92813141684,17.4643403492848,0.172484599590007
167,177,40.6647566096365,-72.7969208102698,40.9160155849622,-72.6875728702248,8.96919917864466,8.58042436687197,2007.58042436687,2007.96919917864,29.4503430494469,0.38877481177019
182,195,40.2339377918952,-74.1488344179058,40.0869315381789,-74.0249005214701,9.02121834360037,8.82956878850109,2007.8295687885,2008.0212183436,19.4679433792086,0.191649555099957
166,189,40.6377125070688,-72.6900076211027,40.5449883032108,-72.7773737970063,9.11704312114989,8.75564681724836,2007.75564681725,2008.11704312115,12.6924819715921,0.361396303899937
130,179,39.3430593351333,-73.2405342663298,39.0017478332469,-73.1356194574249,9.15811088295686,8.58590006844634,2007.58590006845,2008.15811088296,39.0600673094965,0.572210814510072
151,191,39.5200692006173,-73.4407567681398,39.4347641622313,-73.4495613473496,9.18001368925388,8.75838466803566,2007.75838466804,2008.18001368925,9.52657610834317,0.421629021210038
155,157,40.3601501942055,-73.5589971548039,40.6019544716852,-73.331136167584,9.43737166324445,8.26830937713885,2007.26830937714,2008.43737166324,33.1190876160467,1.16906228609992
141,159,40.4863040337964,-73.6241205005135,40.1509446637514,-73.5214258650086,9.52224503764546,8.29295003422317,2007.29295003422,2008.52224503765,38.3375874724843,1.22929500343002
159,236,40.1509446637514,-73.5214258650086,40.1541906257496,-73.4433081150629,9.57152635181387,9.52224503764546,2008.52224503765,2008.57152635181,6.6567125763741,0.0492813141599981
113,135,40.4621447920188,-73.2732860061743,39.81233894204,-73.1217067067847,9.57700205338801,7.85763175906914,2006.85763175907,2008.57700205339,73.4801647831373,1.71937029432002
236,238,40.1541906257496,-73.4433081150629,40.1170892431553,-73.4300711209027,9.62354551676935,9.57152635181387,2008.57152635181,2008.62354551677,4.28116072157783,0.0520191649600292
238,245,40.1170892431553,-73.4300711209027,40.1541942642317,-73.4456569971508,9.63175906913079,9.62354551676935,2008.62354551677,2008.63175906913,4.33844285522786,0.00821355236007548
167,176,40.6647566096365,-72.7969208102698,40.4068358758385,-72.7291238538152,9.65913757700196,8.58042436687197,2007.58042436687,2008.659137577,29.2800802646323,1.07871321012999
157,230,40.6019544716852,-73.331136167584,40.7974950206642,-73.0342292862433,9.69746748802186,9.43737166324445,2008.43737166324,2008.69746748802,33.1932267737934,0.260095824780137
245,247,40.1541942642317,-73.4456569971508,40.1716478163552,-73.5047324678065,9.81519507186863,9.63175906913079,2008.63175906913,2008.81519507187,5.38836594407683,0.183436002739882
135,241,39.81233894204,-73.1217067067847,39.8549190258415,-73.196686698174,9.83983572895272,9.57700205338801,2008.57700205339,2008.83983572895,7.97210738655478,0.262833675559932
236,239,40.1541906257496,-73.4433081150629,39.9186571045338,-73.5018975622243,9.86447638603704,9.57152635181387,2008.57152635181,2008.86447638604,26.6918073894376,0.292950034229989
230,250,40.7974950206642,-73.0342292862433,40.8498894649572,-73.0654817725725,9.92744695414103,9.69746748802186,2008.69746748802,2008.92744695414,6.39940702425195,0.229979466119858
