time	95%HPD_lower_value	95%HPD_higher_value
1994.98283128544	NA	NA
1995.22500297259	0	0
1995.46717465973	0	0
1995.70934634688	0	0
1995.95151803402	0	0
1996.19368972117	0	0
1996.43586140831	0	0
1996.67803309546	0	0
1996.9202047826	0	0
1997.16237646975	0	0
1997.4045481569	0	0
1997.64671984404	0	0
1997.88889153119	0	0
1998.13106321833	0	0
1998.37323490548	0	0
1998.61540659262	0	0
1998.85757827977	0	0
1999.09974996692	0	0
1999.34192165406	0	0
1999.58409334121	0	0
1999.82626502835	0	0
2000.0684367155	0	0
2000.31060840264	0	0
2000.55278008979	0	0
2000.79495177693	0	0
2001.03712346408	0	0
2001.27929515123	0	0
2001.52146683837	0	0
2001.76363852552	0	0
2002.00581021266	0	24.5374876452263
2002.24798189981	0	61.0287685466017
2002.49015358695	0	105.522794206776
2002.7323252741	0	163.290024613862
2002.97449696124	0	200.471426630503
2003.21666864839	0	241.467473450334
2003.45884033554	0	288.776544103116
2003.70101202268	0	325.919811115544
2003.94318370983	0	379.375457233769
2004.18535539697	0	407.340817794647
2004.42752708412	0	451.403721208118
2004.66969877126	0	487.415452314734
2004.91187045841	0	525.328599473615
2005.15404214556	0	572.766616323691
2005.3962138327	0	607.568936379272
2005.63838551985	0	645.475908765537
2005.88055720699	0	710.364556721244
2006.12272889414	0	751.882699438442
2006.36490058128	0	816.407609156404
2006.60707226843	0	848.172883553953
2006.84924395557	0	887.24470901681
2007.09141564272	0	932.810160257438
2007.33358732987	0	965.285391307074
2007.57575901701	0	1030.97917729502
2007.81793070416	0	1072.79686487584
2008.0601023913	0	1109.00288515439
2008.30227407845	0	1158.6083945555
2008.54444576559	124.578181903316	1239.79954951539
2008.78661745274	178.766794904706	1276.86494589412
2009.02878913988	283.272685308649	1352.05682651728
2009.27096082703	313.572654023808	1403.01560890775
2009.51313251418	378.526391896703	1477.27578502659
2009.75530420132	396.331079155551	1491.41079253301
2009.99747588847	407.172261575773	1510.85294577277
2010.23964757561	463.152561850654	1550.68598862329
2010.48181926276	511.420495705343	1617.75649394799
2010.7239909499	527.200453422066	1643.14127971212
2010.96616263705	581.922939433394	1710.11934937672
2011.2083343242	669.104603101028	1773.96387608906
2011.45050601134	729.748170248897	1830.40128359762
2011.69267769849	760.686478855412	1839.08172866777
2011.93484938563	834.419520001276	1909.93030622121
2012.17702107278	862.276226579388	1928.10109382101
2012.41919275992	906.868542888852	1965.30597581326
2012.66136444707	949.229932871113	1999.58349677782
2012.90353613421	957.26359798965	2012.37421468013
2013.14570782136	976.711234409448	2054.06202980014
2013.38787950851	956.450926842386	2058.841949955
2013.63005119565	956.450926842386	2092.68600512248
2013.8722228828	1011.62313245276	2193.76861256272
2014.11439456994	1010.61907059403	2220.63920244139
2014.35656625709	1014.61659909792	2234.55092778586
2014.59873794423	1037.82012911033	2282.28765586552
2014.84090963138	1061.92897225456	2337.1815725973
2015.08308131852	1075.28988965867	2334.49028511105
2015.32525300567	1090.22639578453	2343.12652952523
2015.56742469282	1106.83447853887	2357.43777754271
2015.80959637996	1138.73338072563	2377.51448805751
2016.05176806711	1152.00909253354	2414.93271144885
2016.29393975425	1176.55872547106	2455.61779918689
2016.5361114414	1179.03950433318	2478.30993755417
2016.77828312854	1211.37462260926	2527.2462717424
2017.02045481569	1238.83298617643	2575.40016439682
2017.26262650284	1238.83298617643	2591.81977293795
2017.50479818998	1270.70643423953	2653.41488683167
2017.74696987713	1291.62348515644	2672.57815738474
2017.98914156427	1291.62348515644	2672.57815738474
2018.23131325142	1291.62348515644	2672.57815738474
2018.47348493856	1291.62348515644	2672.57815738474
2018.71565662571	1291.62348515644	2672.57815738474
2018.95782831285	1291.62348515644	2672.57815738474
2019.2	1291.62348515644	2672.57815738474
