"","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","greatCircleDist_km","treeID"
"1",242,245,10.0028945436924,35.4541992165729,-101.522693831582,31.156334518129,-97.7415632548028,10.0028945436924,0,1851.74416636883,1861.74706091253,593.744250519783,"109950000"
"2",242,243,105.733729944662,35.4541992165729,-101.522693831582,38.3102082556126,-102.325471429489,105.733729944662,0,1851.74416636883,1957.4778963135,325.874311793175,"109950000"
"3",243,3,26.522103686504,38.3102082556126,-102.325471429489,38.01578,-101.66666,132.255833631166,105.733729944662,1957.4778963135,1984,66.329180588483,"109950000"
"4",243,244,26.577219656895,38.3102082556126,-102.325471429489,39.6421456027017,-102.372634162938,132.310949601557,105.733729944662,1957.4778963135,1984.05511597039,148.332582508082,"109950000"
"5",244,1,2.94488402960909,39.6421456027017,-102.372634162938,40.076721,-102.225873,135.255833631166,132.310949601557,1984.05511597039,1987,49.977737386237,"109950000"
"6",244,2,2.94488402960909,39.6421456027017,-102.372634162938,39.61283,-102.59222,135.255833631166,132.310949601557,1984.05511597039,1987,19.1085743496772,"109950000"
"7",245,331,15.8187152768942,31.156334518129,-97.7415632548028,30.8653700904791,-97.4550682462797,25.8216098205866,10.0028945436924,1861.74706091253,1877.56577618942,42.3839865128666,"109950000"
"8",245,246,40.1677669888736,31.156334518129,-97.7415632548028,30.8162266104378,-97.639536253218,50.170661532566,10.0028945436924,1861.74706091253,1901.9148279014,39.0941447833717,"109950000"
"9",246,294,26.1949005742399,30.8162266104378,-97.639536253218,33.752248335482,-92.6080662399435,76.3655621068059,50.170661532566,1901.9148279014,1928.10972847564,575.251848290494,"109950000"
"10",246,247,4.48467802321578,30.8162266104378,-97.639536253218,30.3216652878328,-97.1655844510221,54.6553395557818,50.170661532566,1901.9148279014,1906.39950592462,71.37923021163,"109950000"
"11",247,248,31.4124816471792,30.3216652878328,-97.1655844510221,31.2140818637698,-96.792627689038,86.067821202961,54.6553395557818,1906.39950592462,1937.8119875718,105.558209319565,"109950000"
"12",247,250,74.9749170763642,30.3216652878328,-97.1655844510221,37.9613620019843,-97.3674116556057,129.630256632146,54.6553395557818,1906.39950592462,1981.37442300098,850.683175047117,"109950000"
"13",248,6,47.1880124282047,31.2140818637698,-96.792627689038,30.74796,-99.23194,133.255833631166,86.067821202961,1937.8119875718,1985,238.52011433572,"109950000"
"14",248,249,11.2911666521077,31.2140818637698,-96.792627689038,31.8590343101215,-97.0717553165238,97.3589878550687,86.067821202961,1937.8119875718,1949.1031542239,76.5273580166978,"109950000"
"15",249,5,62.896845776097,31.8590343101215,-97.0717553165238,32.37986,-95.26828,160.255833631166,97.3589878550687,1949.1031542239,2012,179.65055253787,"109950000"
"16",249,4,34.896845776097,31.8590343101215,-97.0717553165238,31.90012,-97.62983,132.255833631166,97.3589878550687,1949.1031542239,1984,52.9536308260248,"109950000"
"17",250,251,2.67376853026332,37.9613620019843,-97.3674116556057,38.2408575936329,-96.9798294062086,132.304025162409,129.630256632146,1981.37442300098,1984.04819153124,46.0537247612087,"109950000"
"18",250,289,13.431816216561,37.9613620019843,-97.3674116556057,37.9362081192539,-97.4055584068585,143.062072848707,129.630256632146,1981.37442300098,1994.80623921754,4.36523910949652,"109950000"
"19",251,288,0.468837604843639,38.2408575936329,-96.9798294062086,38.4573938647719,-97.0308423330659,132.772862767253,132.304025162409,1984.04819153124,1984.51702913609,24.5136278836016,"109950000"
"20",251,252,5.57131722908635,38.2408575936329,-96.9798294062086,38.4939360418747,-97.575223860707,137.875342391496,132.304025162409,1984.04819153124,1989.61950876033,59.1134094170107,"109950000"
"21",252,253,2.44689620666937,38.4939360418747,-97.575223860707,38.7257029839802,-98.6391178465,140.322238598165,137.875342391496,1989.61950876033,1992.066404967,96.0766656495954,"109950000"
"22",252,43,19.38049123967,38.4939360418747,-97.575223860707,37.795228,-97.27866,157.255833631166,137.875342391496,1989.61950876033,2009,82.0018827021708,"109950000"
"23",253,254,9.39900432116602,38.7257029839802,-98.6391178465,39.5566276762598,-98.2864440459773,149.721242919331,140.322238598165,1992.066404967,2001.46540928817,97.384608378516,"109950000"
"24",253,274,9.21260158005653,38.7257029839802,-98.6391178465,38.7742876369555,-99.0683870050543,149.534840178222,140.322238598165,1992.066404967,2001.27900654706,37.6594268371218,"109950000"
"25",254,27,7.53459071183459,39.5566276762598,-98.2864440459773,39.6413,-98.04428,157.255833631166,149.721242919331,2001.46540928817,2009,22.8109261161768,"109950000"
"26",254,255,1.07776724643019,39.5566276762598,-98.2864440459773,38.6345734174405,-98.9349978413168,150.799010165761,149.721242919331,2001.46540928817,2002.5431765346,116.943969588308,"109950000"
"27",255,256,0.847758073336838,38.6345734174405,-98.9349978413168,39.7868203578151,-104.700488761848,151.646768239098,150.799010165761,2002.5431765346,2003.39093460793,513.48299119799,"109950000"
"28",255,259,0.52860263922007,38.6345734174405,-98.9349978413168,38.624849242588,-98.9183780829903,151.327612804981,150.799010165761,2002.5431765346,2003.07177917382,1.80580128798087,"109950000"
"29",256,10,4.60906539206753,39.7868203578151,-104.700488761848,39.7723129456362,-104.935437862151,156.255833631166,151.646768239098,2003.39093460793,2008,20.1655359751253,"109950000"
"30",256,257,0.326434633410141,39.7868203578151,-104.700488761848,39.7539922464337,-104.700374574825,151.973202872508,151.646768239098,2003.39093460793,2003.71736924134,3.65456551573596,"109950000"
"31",257,258,0.178439143052062,39.7539922464337,-104.700374574825,39.722611648909,-104.793297821558,152.15164201556,151.973202872508,2003.71736924134,2003.89580838439,8.6879823762589,"109950000"
