time	distance
1999.52188142413	0
1999.60750951701	1.4689950039684
1999.69313760989	2.91337710468128
1999.77876570277	4.49322537477986
1999.86439379565	6.57491033530923
1999.95002188853	9.93575984301154
2000.03564998141	13.0527099082838
2000.12127807429	17.6184941331228
2000.20690616716	22.9444040580856
2000.29253426004	36.6792443455098
2000.37816235292	53.5447570504949
2000.4637904458	85.090237930716
2000.54941853868	116.50965910741
2000.63504663156	158.180453876436
2000.72067472444	193.883256353738
2000.80630281732	232.002679227744
2000.8919309102	268.134380218658
2000.97755900308	301.37874286664
2001.06318709596	335.312526048171
2001.14881518884	369.111758833911
2001.23444328172	401.950287087221
2001.3200713746	432.101612649619
2001.40569946748	461.591479609722
2001.49132756036	491.91395931776
2001.57695565323	522.834710855115
2001.66258374611	553.738724736816
2001.74821183899	585.408298131684
2001.83383993187	618.688164613421
2001.91946802475	653.090370521221
2002.00509611763	690.546749705352
2002.09072421051	739.972920675523
2002.17635230339	803.828775137885
2002.26198039627	859.069680204203
2002.34760848915	940.023216747342
2002.43323658203	1024.66470385976
2002.51886467491	1106.84212574936
2002.60449276779	1194.38105465164
2002.69012086067	1290.03184669431
2002.77574895355	1393.73875998976
2002.86137704642	1509.16737440844
2002.9470051393	1634.46139077052
2003.03263323218	1781.3564407006
2003.11826132506	1948.70411029093
2003.20388941794	2144.95826676557
2003.28951751082	2363.95892859997
2003.3751456037	2584.09051562396
2003.46077369658	2805.01207926564
2003.54640178946	3039.52505820921
2003.63202988234	3303.46503995385
2003.71765797522	3589.66114757774
2003.8032860681	3896.26457114984
2003.88891416098	3967.07684419816
2003.97454225386	4175.05788083457
2004.06017034674	4449.10598788572
2004.14579843961	4740.23174453941
2004.23142653249	4740.23174453941
2004.31705462537	4740.23174453941
2004.40268271825	4740.23174453941
2004.48831081113	4740.23174453941
2004.57393890401	4740.23174453941
2004.65956699689	4740.23174453941
2004.74519508977	4740.23174453941
2004.83082318265	4740.23174453941
2004.91645127553	4740.23174453941
2005.00207936841	4740.73008509933
2005.08770746129	4741.98143667987
2005.17333555417	4742.67955590528
2005.25896364705	4743.20226855655
2005.34459173993	4743.72436692216
2005.43021983281	4744.24584785819
2005.51584792568	4745.31773236821
2005.60147601856	4746.75940800434
2005.68710411144	4748.20040370295
2005.77273220432	4749.64070332658
2005.8583602972	4750.47030816918
2005.94398839008	4751.78950681176
2006.02961648296	4753.42154158521
2006.11524457584	4755.05277361489
2006.20087266872	4756.68319374864
2006.2865007616	4758.31279281445
2006.37212885448	4760.10308154647
2006.45775694736	4762.07044655323
2006.54338504024	4764.20540941733
2006.62901313312	4766.7041010616
2006.714641226	4769.49327795266
2006.80026931887	4772.73447561681
2006.88589741175	4776.25014931527
2006.97152550463	4780.48475856464
2007.05715359751	4785.66883226205
2007.14278169039	4791.47406090947
2007.22840978327	4798.72902480761
2007.31403787615	4806.91883988714
2007.39966596903	4816.64897466828
2007.48529406191	4828.01847856964
2007.57092215479	4839.64156134209
2007.65655024767	4852.48147723835
2007.74217834055	4866.49535689089
2007.82780643343	4880.66580816934
2007.91343452631	4881.08226967416
2007.99906261919	4881.49832450876
2008.08469071206	4881.91397097829
2008.17031880494	4882.3292073832
2008.25594689782	4882.74403201934
2008.3415749907	4883.15844317784
2008.42720308358	4883.5724391452
2008.51283117646	4883.98601820319
2008.59845926934	4884.39917862889
2008.68408736222	4884.81191869466
2008.7697154551	4885.22423666812
2008.85534354798	4885.63613081217
2008.94097164086	4886.04759938495
2009.02659973374	4886.45864063982
2009.11222782662	4886.86925282538
2009.1978559195	4887.27943418545
2009.28348401238	4887.68918295902
2009.36911210526	4888.09849738032
2009.45474019813	4888.50737567871
2009.54036829101	4889.15504318029
2009.62599638389	4889.863845481
2009.71162447677	4890.68515273875
2009.79725256965	4890.97854203995
2009.88288066253	4891.27166009397
2009.96850875541	4891.56450498542
2010.05413684829	4891.85707479315
2010.13976494117	4892.14936759018
2010.22539303405	4892.44138144369
2010.31102112693	4892.73311441494
2010.39664921981	4893.02456455922
2010.48227731269	4893.31572992581
2010.56790540557	4893.60660855795
2010.65353349845	4893.89719849276
2010.73916159132	4894.18749776121
2010.8247896842	4894.47750438805
2010.91041777708	4894.76721639179
2010.99604586996	4895.05663178465
2011.08167396284	4895.34574857248
2011.16730205572	4895.63456475476
2011.2529301486	4895.63456475476
2011.33855824148	4895.63456475476
2011.42418633436	4895.63456475476
2011.50981442724	4895.66841962801
2011.59544252012	4895.92112625564
2011.681070613	4896.17349286012
2011.76669870588	4898.31507279825
2011.85232679876	4902.14116895279
2011.93795489164	4902.58738577213
2012.02358298452	4903.68662564205
2012.10921107739	4905.7212881411
2012.19483917027	4907.94248290479
2012.28046726315	4910.2336647287
2012.36609535603	4912.96435968574
2012.45172344891	4915.88501414155
2012.53735154179	4920.05485308541
2012.62297963467	4923.64423353531
2012.70860772755	4926.75227598616
2012.79423582043	4929.86727619543
2012.87986391331	4932.46625864423
2012.96549200619	4934.11509588799
2013.05112009907	4935.76571329711
2013.13674819195	4937.42755292107
2013.22237628483	4939.9587769048
2013.30800437771	4942.92956542636
2013.39363247058	4946.64813112116
2013.47926056346	4950.5334334786
2013.56488865634	4955.51454785511
2013.65051674922	4962.00517321817
2013.7361448421	4969.06682562685
2013.82177293498	4974.4514502845
2013.90740102786	4980.75486613189
2013.99302912074	4987.3662312
2014.07865721362	4996.06530713333
2014.1642853065	5006.40879823378
2014.24991339938	5018.20188199972
2014.33554149226	5030.3557608695
2014.42116958514	5044.3032316633
2014.50679767802	5061.57480178046
