time	distance
1998.43314913149	0
1998.52422088583	0
1998.61529264018	0
1998.70636439452	0
1998.79743614886	0
1998.8885079032	0
1998.97957965755	0
1999.07065141189	0
1999.16172316623	0
1999.25279492057	16.1061843268852
1999.34386667492	55.7671610522385
1999.43493842926	166.748197564416
1999.5260101836	289.582595944078
1999.61708193794	399.023787865401
1999.70815369229	534.801074111411
1999.79922544663	677.030892139833
1999.89029720097	830.703160205226
1999.98136895531	996.708183333514
2000.07244070966	1148.68561851649
2000.163512464	1306.68461703101
2000.25458421834	1458.37974154193
2000.34565597268	1619.41560728046
2000.43672772703	1775.09763735081
2000.52779948137	1939.43785524816
2000.61887123571	2110.10299292843
2000.70994299005	2110.10299292843
2000.8010147444	2110.10299292843
2000.89208649874	2110.10299292843
2000.98315825308	2111.29937078286
2001.07423000742	2111.29937078286
2001.16530176177	2111.29937078286
2001.25637351611	2111.29937078286
2001.34744527045	2111.29937078286
2001.43851702479	2111.29937078286
2001.52958877914	2113.9288277314
2001.62066053348	2113.9288277314
2001.71173228782	2113.9288277314
2001.80280404216	2117.97963392468
2001.89387579651	2128.92684380979
2001.98494755085	2165.93145290022
2002.07601930519	2365.87764771282
2002.16709105953	2620.31941719701
2002.25816281388	2874.64926773223
2002.34923456822	3142.29204149761
2002.44030632256	3433.04964040081
2002.5313780769	3730.60325921629
2002.62244983125	4006.20141590604
2002.71352158559	4223.92129496159
2002.80459333993	4223.92129496159
2002.89566509427	4244.72086394736
2002.98673684862	4244.72086394736
2003.07780860296	4248.47773187837
2003.1688803573	4248.47773187837
2003.25995211165	4263.13383015463
2003.35102386599	4280.84807165155
2003.44209562033	4306.37125563395
2003.53316737467	4342.98140438143
2003.62423912902	4356.01368814232
2003.71531088336	4449.24261781464
2003.8063826377	4497.83912558658
2003.89745439204	4559.2820191158
2003.98852614639	4576.83361041645
2004.07959790073	4580.55767316696
2004.17066965507	4593.38591728725
2004.26174140941	4620.86778730807
2004.35281316376	4672.35316509481
2004.4438849181	4688.63275335693
2004.53495667244	4700.69560458254
2004.62602842678	4726.909852306
2004.71710018113	4777.9321577185
2004.80817193547	4803.44268393519
2004.89924368981	4817.63423894243
2004.99031544415	4830.46136105845
2005.0813871985	4854.54617974813
2005.17245895284	4896.78882269174
2005.26353070718	4919.0114262622
2005.35460246152	4940.49769298159
2005.44567421587	4949.30007650908
2005.53674597021	4950.09625997983
2005.62781772455	4950.09625997983
2005.71888947889	4950.09625997983
2005.80996123324	4950.09625997983
2005.90103298758	4966.28859185441
2005.99210474192	4967.18584817756
2006.08317649626	4999.46868863528
2006.17424825061	5034.575991617
2006.26532000495	5078.03740476608
2006.35639175929	5099.30829812767
2006.44746351363	5117.76672170461
2006.53853526798	5155.49159351109
2006.62960702232	5156.36224172428
2006.72067877666	5156.36224172428
2006.811750531	5156.50704405102
2006.90282228535	5161.10193471962
2006.99389403969	5165.69626252648
2007.08496579403	5170.29002611069
2007.17603754837	5172.14637436197
2007.26710930272	5172.14637436197
2007.35818105706	5172.14637436197
2007.4492528114	5172.14637436197
2007.54032456574	5172.14637436197
2007.63139632009	5172.14637436197
2007.72246807443	5172.42221374611
2007.81353982877	5186.56827235359
2007.90461158312	5187.94832085696
2007.99568333746	5187.94832085696
2008.0867550918	5187.94832085696
2008.17782684614	5196.20500674789
2008.26889860049	5196.20500674789
2008.35997035483	5196.20500674789
2008.45104210917	5196.20500674789
2008.54211386351	5196.20500674789
2008.63318561786	5196.20500674789
2008.7242573722	5196.20500674789
2008.81532912654	5196.20500674789
2008.90640088088	5196.20500674789
2008.99747263523	5196.20500674789
2009.08854438957	5196.20500674789
2009.17961614391	5196.20500674789
2009.27068789825	5196.20500674789
2009.3617596526	5201.09946965159
2009.45283140694	5208.23193846191
2009.54390316128	5208.23193846191
2009.63497491562	5208.23193846191
2009.72604666997	5208.23193846191
2009.81711842431	5208.23193846191
2009.90819017865	5223.96267382246
2009.99926193299	5243.05964828745
2010.09033368734	5251.83388670317
2010.18140544168	5251.83388670317
2010.27247719602	5300.62003035595
2010.36354895036	5300.62003035595
2010.45462070471	5300.62003035595
2010.54569245905	5330.31957767336
2010.63676421339	5330.31957767336
2010.72783596773	5330.31957767336
2010.81890772208	5330.31957767336
2010.90997947642	5330.31957767336
2011.00105123076	5330.31957767336
2011.0921229851	5345.24076700574
2011.18319473945	5386.14080402672
2011.27426649379	5432.49586942843
2011.36533824813	5459.28380579333
2011.45641000247	5510.89185167696
2011.54748175682	5528.78651521431
2011.63855351116	5556.22580570078
2011.7296252655	5556.22580570078
2011.82069701984	5556.22580570078
2011.91176877419	5556.22580570078
2012.00284052853	5556.22580570078
2012.09391228287	5556.22580570078
2012.18498403722	5584.40723917198
2012.27605579156	5592.78674596327
2012.3671275459	5592.78674596327
2012.45819930024	5592.78674596327
2012.54927105459	5592.78674596327
2012.64034280893	5598.87030120387
2012.73141456327	5644.33849733423
2012.82248631761	5665.01497551223
2012.91355807196	5665.01497551223
2013.0046298263	5665.01497551223
2013.09570158064	5729.52412912229
2013.18677333498	5744.52371583319
2013.27784508933	5784.31955110708
2013.36891684367	5784.31955110708
2013.45998859801	5819.46913911056
2013.55106035235	5819.46913911056
2013.6421321067	5819.46913911056
2013.73320386104	5819.46913911056
2013.82427561538	5819.46913911056
2013.91534736972	5827.43801111832
2014.00641912407	5839.01067032395
2014.09749087841	5839.01067032395
2014.18856263275	5839.01067032395
2014.27963438709	5839.01067032395
2014.37070614144	5839.01067032395
2014.46177789578	5839.01067032395
2014.55284965012	5845.43913411364
