time	distance_tree530000	distance_tree570000	distance_tree610000	distance_tree650000	distance_tree690000	distance_tree730000	distance_tree770000	distance_tree810000	distance_tree850000	distance_tree890000	distance_tree930000	distance_tree970000	distance_tree1010000	distance_tree1050000	distance_tree1090000	distance_tree1130000	distance_tree1170000	distance_tree1210000	distance_tree1250000	distance_tree1290000	distance_tree1330000	distance_tree1370000	distance_tree1410000	distance_tree1450000	distance_tree1490000	distance_tree1530000	distance_tree1570000	distance_tree1610000	distance_tree1650000	distance_tree1690000	distance_tree1730000	distance_tree1770000	distance_tree1810000	distance_tree1850000	distance_tree1890000	distance_tree1930000	distance_tree1970000	distance_tree2010000	distance_tree2050000	distance_tree2090000	distance_tree2130000	distance_tree2170000	distance_tree2210000	distance_tree2250000	distance_tree2290000	distance_tree2330000	distance_tree2370000	distance_tree2410000	distance_tree2450000	distance_tree2490000	distance_tree2530000	distance_tree2570000	distance_tree2610000	distance_tree2650000	distance_tree2690000	distance_tree2730000	distance_tree2770000	distance_tree2810000	distance_tree2850000	distance_tree2890000	distance_tree2930000	distance_tree2970000	distance_tree3010000	distance_tree3050000	distance_tree3090000	distance_tree3130000	distance_tree3170000	distance_tree3210000	distance_tree3250000	distance_tree3290000	distance_tree3330000	distance_tree3370000	distance_tree3410000	distance_tree3450000	distance_tree3490000	distance_tree3530000	distance_tree3570000	distance_tree3610000	distance_tree3650000	distance_tree3690000	distance_tree3730000	distance_tree3770000	distance_tree3810000	distance_tree3850000	distance_tree3890000	distance_tree3930000	distance_tree3970000	distance_tree4010000	distance_tree4050000	distance_tree4090000	distance_tree4130000	distance_tree4170000	distance_tree4210000	distance_tree4250000	distance_tree4290000	distance_tree4330000	distance_tree4370000	distance_tree4410000	distance_tree4450000	distance_tree4490000
1997.49313355545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997.58890538767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.4727217004066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.6054708348152	0	0	0	0	0	0	0	0
1997.6846772199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.9779807870931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.1365852364571	0	0	0	0	0	0	0	0
1997.78044905212	0	0	0	0	0	0	0	0	0	60.0339076560263	0	0	0	0	0	0	0	91.5155882967157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.577234412615	0	0	115.592826757473	0	0	0	0	47.8092245381591	0	0	0
1997.87622088434	0	0	0	0	0	0	0	0	0	120.876446529212	0	0	0	0	0	0	0	122.085355824397	0	2.38522221240552	32.3936341899928	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75740966434469	0	0	0	0	0	0	0	0	4.90988348573242	0	0	0	0	0	0	0	0	0	0	0	0	0	27.7475955002758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.335354418193	122.062023413226	0	0	153.973676383733	0	0	0	0	49.1668050553259	0	0	0
1997.97199271656	0	0	0	0	3.6469674457682	0	0	0	0	147.452761152341	0	0	0	0	0	0	0	152.68709552117	0	7.18294682097634	97.6822868666749	0	0	0	0	0	0	1.05947645080688	0	0	0	0	0	0	18.7937517889649	0	0	0.846713831126808	0	0	0	0	0	24.5429223462848	0	0	0	0	0	0	0	0	0	0	0	0	0	78.2109879912907	0	0	0	0	0	0	0.475463400453166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353.82290263664	137.018575922609	0	1.70917084866375	192.278612526531	0	0	0	0	57.6206775781433	0	0	0
1998.06776454879	0	0	0	0	167.185965293793	0	0	0	0	196.451432867628	0	0	0	0	0	32.0654237740982	0	183.320620090467	0	11.981366239378	163.15342412041	0	0	0	0	0	0	7.31307032921849	0	0	0	0	0	0	33.8385085627101	0	36.224388475279	5.26758208483113	1.49117929569983	0	0	0	0	44.1625346767931	0	0	0	0	0	0	0	0	0	0	0	0	0	128.722954293882	0	0	0	0	0	0	3.28210945900557	5.60992942357087	0	0	0	0	0	0	0	0	25.7356649462095	0	0	122.508208728952	44.3545266047972	0	0	0	0	0	0	0	0	358.211136840247	272.544805925413	0	78.4816731566565	203.842063256065	0	0	52.9440457729595	0	68.9349187570625	0	0	0
1998.16353638101	0	0	0	0	171.739534007598	0	0	0	0	213.871806323491	0	0	0	0	0	134.37929749452	0	213.985742785011	0	16.7804797683301	228.494183739655	0	0	0	0	0	53.8855326501208	13.5658798145661	0	0	0	0	0	0	48.8916562683482	0	78.3225293400542	9.6884764274546	18.0579407774121	0	0	0	0	63.7686703728732	0	0	49.7748781653276	0	0	0	0	0	0	0	0	0	0	179.282811976983	0	0	62.386246592942	0	0	0	6.72821837481958	73.6572435424343	0	0	0	0	0	0	16.9510947062935	0	67.3955676762321	0	0	165.833360862632	112.201239186644	32.5446653266206	0	0	0	0	0	0	0	358.211136840247	272.544805925413	0	84.968814339875	211.656057599082	0	111.574227931062	164.822984893989	0	108.362384997233	0	32.5070693911053	0
1998.25930821323	0	0	44.7758208597336	0	176.352536219721	0	0	11.893578307783	0	215.756796813863	0	11.3958178811888	0	0	0	181.74779049215	0	244.682277403126	0	49.729745920866	242.955810275511	7.83715868326215	0	90.064137835048	0	0	155.492219046291	105.928600578239	2.17610498706484	0	80.2714965524604	30.6125362044437	0	0	63.9531712221407	0	78.3225293400542	14.1093968393065	41.8920411271875	0	0	0	0	83.3612792319724	0	0	136.553137600406	0	0	0	0	0	0	0	0	0	4.24800866163835	260.971369594422	0	0	99.5481597936555	0	0	36.4913462976531	36.661099871957	77.350277211276	0	294.199855769518	52.7367566271127	22.6421644238013	21.9615379820754	40.2539277504804	47.7227905507926	15.5611453216129	112.584125029432	0	0	175.264644159793	157.935437848542	117.032429656137	0	47.9381759553708	22.0831752606131	23.1807208237177	0	38.5860747186388	44.2162685707143	358.211136840247	272.544805925413	0	96.6655829379973	219.295189083912	0	152.09658790001	273.209529486526	0	148.006876882393	0	77.5671428875414	0
1998.35508004545	0	0	62.3825127139256	0	176.352536219721	15.0825198292183	0	81.0116698214869	50.7044373588891	217.72803587603	125.981646615369	64.0363831007918	0	0	31.2676545008415	193.969389412872	40.077395580339	275.410038285628	16.5655674956453	89.7893502878293	269.413662868385	81.226804287868	0	104.502441344659	294.822329103545	0	240.953330722104	109.739266052749	30.8305201928473	0	124.615152140406	72.3907412158597	0	0	66.2355151812045	0.985882740522123	104.005650046941	18.5303433000861	171.401891901552	0	0	0	32.4068756910116	102.940310954065	0	25.5252459805602	171.27768938841	108.219083677119	0	0	0	0	64.446981250374	0.861315447816636	57.277083246646	0	139.559554814286	345.921401534053	0	28.3398844176316	137.079184550356	0	0	83.7324070022385	60.335450532275	119.372789414503	3.42715070499889	357.734737061408	115.815074754106	97.7231949347768	88.1997608645567	212.843980256521	107.284558160005	71.0782620402084	158.299118670055	0	0	221.381944881805	203.909732538448	180.151495903847	2.60213955577074	98.7070243956648	55.6557944976701	28.7532490664963	0	71.8757350528062	93.5990445548836	358.211136840247	272.544805925413	0	100.934180888728	219.295189083912	0.271800496190519	192.770298661148	301.883052336497	0	187.758408433262	0	104.842899952683	1.97846957295313
1998.45085187768	4.21530978805443	21.5085103789246	66.0014134764958	0	176.352536219721	40.4159262392199	0	112.810450202294	92.5524214547616	219.783199047875	138.692711932943	95.3426964770647	0	63.7757651274904	89.8092807199185	193.969389412872	54.8660527553858	306.168840312088	49.7969445681827	153.413071304822	330.619299985197	94.9814726177658	33.5895430039396	155.983990723243	305.315124339705	0	249.258130411604	123.216738220104	90.0729772134886	0.418782781151839	183.206932816892	84.0951912507876	39.318084649791	0	66.2355151812045	36.6589026735668	154.953342353771	22.9513157891001	210.91757032313	0	37.7635235169061	52.3306928356888	88.3371520026238	130.130278865478	5.02283359836318	97.7272024140258	171.27768938841	172.448450962512	0	0	0.754477244911641	0	124.08778769716	41.7372286087063	95.3575818183664	238.554522599116	163.772135088843	345.921401534053	79.9272165697001	58.8431813715327	142.948935231608	19.4592472296868	0	118.585615028385	110.79282128143	170.729056668085	166.257558817532	357.734737061408	115.815074754106	97.7231949347768	93.2505406203971	376.751136895119	146.9359753805	74.4100274698904	231.600718628934	0	0	267.709887739469	250.023632276596	183.864438042138	22.5893733901828	142.809132002684	102.064185825287	73.6248321746205	64.0462478013296	116.646609184128	175.614215451474	358.211136840247	272.544805925413	0	190.963327646031	240.943644036888	13.1883583161554	233.541859274618	335.978702655616	37.8857892934358	227.583312986113	25.2524221557224	150.104062509067	95.7496742174626
