time	velocity	number_of_branches
2012.19825029545	138.569153531892	51
2012.2939330848	129.220106713925	52
2012.38961587414	127.860184491189	50
2012.48529866349	127.466931930439	49
2012.58098145283	125.928021870883	49
2012.67666424218	125.945745198029	48
2012.77234703152	124.867101383432	48
2012.86802982087	125.009364376612	48
2012.96371261021	119.585093318948	44
2013.05939539956	113.617652186155	34
2013.1550781889	63.9369402088321	21
2013.25076097825	101.931962434748	15
2013.34644376759	98.5094327522662	16
2013.44212655694	98.4860496364087	16
2013.53780934628	98.462459821023	16
2013.63349213563	98.4386625643487	16
2013.72917492497	98.4146571144631	16
2013.82485771432	98.3904427113754	16
2013.92054050366	95.1319155047588	17
2014.01622329301	92.098088723699	18
2014.11190608235	134.251096987682	9
2014.2075888717	138.155799210752	7
2014.30327166105	45.5073054448562	5
2014.39895445039	46.0046120210029	5
2014.49463723974	46.0018860752365	5
2014.59032002908	47.0908318495271	5
2014.68600281843	48.8069805882239	5
2014.78168560777	50.2239399072863	5
2014.87736839712	55.9120605921848	8
2014.97305118646	85.2339496160295	8
2015.06873397581	98.6825568657971	7
2015.16441676515	91.5732344925433	8
2015.2600995545	105.998048122266	6
2015.35578234384	105.985778470458	6
2015.45146513319	106.747675669365	6
2015.54714792253	106.729744360762	6
2015.64283071188	107.014685463181	6
2015.73851350122	107.647924321664	6
2015.83419629057	110.686093474393	6
2015.92987907991	111.836530344109	5
2016.02556186926	102.669269315459	4
2016.1212446586	145.080764194081	1
2016.21692744795	107.308089327662	1
2016.31261023729	107.315112361113	1
2016.40829302664	107.322123376454	1
2016.50397581598	107.329122378779	1
2016.59965860533	107.336109373671	1
