time	velocity	number_of_branches
1997.55878352583	359.11284657782	0
1997.65446631518	324.917990778778	0
1997.75014910452	361.60678476123	2
1997.84583189386	367.621129530245	7
1997.94151468321	289.643098960492	14
1998.03719747255	271.13984904734	20
1998.1328802619	229.637468770876	20
1998.22856305124	208.110944337361	22
1998.32424584059	186.741933779962	22
1998.41992862993	176.55905111001	24
1998.51561141927	167.469119781802	24
1998.61129420862	159.24926672485	24
1998.70697699796	159.682976718502	24
1998.80265978731	159.674967112144	24
1998.89834257665	158.678226876491	21
1998.994025366	161.313299818232	15
1999.08970815534	169.948089733347	14
1999.18539094468	182.320533621223	13
1999.28107373403	155.347761871207	17
1999.37675652337	168.82067332966	20
1999.47243931272	182.019055235495	23.5
1999.56812210206	200.698929848747	30
1999.6638048914	212.155751830475	36.5
1999.75948768075	224.409042357287	38
1999.85517047009	234.145834750755	37
1999.95085325944	242.398341378005	39
2000.04653604878	257.908351376598	44
2000.14221883813	267.828652979225	55
2000.23790162747	284.833481721543	75
2000.33358441681	346.706528341703	134
2000.42926720616	383.52178645376	165.5
2000.5249499955	394.190628248692	186
2000.62063278485	413.379229709598	248.5
2000.71631557419	405.111507161572	262
2000.81199836353	397.886221573027	264
2000.90768115288	387.033182227068	264
2001.00336394222	379.602872446607	264
2001.09904673157	375.069394533198	258.5
2001.19472952091	368.484592768739	249
2001.29041231026	375.041118514803	217.5
2001.3860950996	375.817367659478	189.5
2001.48177788894	371.494595028676	196
2001.57746067829	403.850158130875	170
2001.67314346763	447.910370052939	119
2001.76882625698	444.573647309378	111
2001.86450904632	424.584374912646	110.5
2001.96019183567	400.293917253504	111
2002.05587462501	377.62164757019	109
2002.15155741435	329.66936260776	115
2002.2472402037	316.422049845716	135
2002.34292299304	306.013384928396	145
2002.43860578239	307.8537282016	129
2002.53428857173	403.675310818215	120
2002.62997136107	403.516709957911	110.5
2002.72565415042	398.5727204901	108
2002.82133693976	385.685030358563	109.5
2002.91701972911	371.488395088803	109
2003.01270251845	357.597681616676	108
2003.1083853078	365.439834082148	113
2003.20406809714	319.390395813808	107
2003.29975088648	355.688884021772	73.5
2003.39543367583	352.706823652217	73
2003.49111646517	324.682880670183	74
2003.58679925452	320.572126390742	65
2003.68248204386	315.250516595022	67
2003.7781648332	305.196951755331	68
2003.87384762255	297.059621154738	70.5
2003.96953041189	269.016033687649	74
2004.06521320124	218.520187208559	77
2004.16089599058	186.879113423776	64
2004.25657877993	157.633671531716	52
2004.35226156927	157.906452072684	47
2004.44794435861	157.262967352137	40
2004.54362714796	182.358682693517	42
2004.6393099373	172.565997353386	55
2004.73499272665	178.081249979643	58
2004.83067551599	173.143837914487	62
2004.92635830534	172.932065710511	58
2005.02204109468	171.143352421198	56
2005.11772388402	158.742441766479	52.5
2005.21340667337	156.810422349193	58
2005.30908946271	163.799547733181	60
2005.40477225206	163.588945592913	60
2005.5004550414	161.024629754436	57
2005.59613783074	166.464207578926	50
2005.69182062009	176.679267650797	46
2005.78750340943	182.478513803634	43
2005.88318619878	179.991083800452	42.5
2005.97886898812	180.718954927923	41
2006.07455177747	155.721418111302	42
2006.17023456681	129.082192893249	50
2006.26591735615	127.685364004247	44.5
2006.3616001455	131.372965349918	43
2006.45728293484	133.586551557738	44
2006.55296572419	148.319287483047	44
2006.64864851353	152.288478057263	43
2006.74433130288	162.134763213871	45
2006.84001409222	168.664811089192	47
2006.93569688156	183.909958386292	53
2007.03137967091	199.434197245173	57
2007.12706246025	177.978003316183	53
2007.2227452496	158.331041403695	50
2007.31842803894	161.765987873525	55
2007.41411082828	169.644216587326	60
2007.50979361763	191.245093925282	60
2007.60547640697	198.11257543056	61
2007.70115919632	203.939944623011	60
2007.79684198566	211.383864696455	57.5
2007.89252477501	209.827464500649	54
2007.98820756435	217.878786199002	47.5
2008.08389035369	188.606724053974	41
2008.17957314304	188.494478114534	33
2008.27525593238	171.751579260496	31.5
2008.37093872173	161.197763791087	22.5
2008.46662151107	158.798704449749	21
2008.56230430042	156.530974012363	21
2008.65798708976	162.700990851019	19
2008.7536698791	160.613064630782	21
2008.84935266845	163.241078427034	26
2008.94503545779	177.539451327369	30
2009.04071824714	186.273821432609	32
2009.13640103648	180.340835302245	31
2009.23208382582	170.914959732254	38
2009.32776661517	173.206408112505	40.5
2009.42344940451	181.149346713033	44
2009.51913219386	196.905061984714	45
2009.6148149832	206.501144660002	46
2009.71049777255	216.920988779176	47
2009.80618056189	225.68429197557	47
2009.90186335123	236.202388961538	46
2009.99754614058	243.440415195524	45
2010.09322892992	227.372063459283	50
2010.18891171927	209.960921822649	49
2010.28459450861	210.663050443677	45
2010.38027729795	216.140523513404	46
2010.4759600873	207.550293523436	43
2010.57164287664	197.338442079691	46
2010.66732566599	191.728188283149	49
2010.76300845533	186.068320924737	48
2010.85869124468	172.567989794511	47
2010.95437403402	161.14998499785	46.5
2011.05005682336	159.198753456304	45
2011.14573961271	138.486505608228	42
2011.24142240205	143.105752195105	37
2011.3371051914	144.234772945337	35.5
2011.43278798074	142.699291643747	33
2011.52847077009	143.689058411384	28.5
2011.62415355943	145.404062910524	24
2011.71983634877	154.642603019248	20
2011.81551913812	162.804881910017	18
2011.91120192746	167.592522896869	18
2012.00688471681	142.320031782891	24
2012.10256750615	151.806117198968	27
2012.19825029549	141.766046372386	32
2012.29393308484	144.401649882263	28
2012.38961587418	144.42917378324	27
2012.48529866353	144.364221314764	27
2012.58098145287	143.618769864249	27
2012.67666424222	144.200193528628	27
2012.77234703156	144.454795235544	27
2012.8680298209	143.922957636348	27
