"X","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","greatCircleDist_km","treeID"
1,42,43,13.255328182248,-18.5816667926006,-40.153642028783,-20.0264698321355,-40.523103005664,13.255328182248,0,1968.01901611669,1981.27434429894,129.312036341036,184950000
2,42,66,28.7886025643516,-18.5816667926006,-40.153642028783,-18.4602335241816,-39.8972003316162,28.7886025643516,0,1968.01901611669,1996.80761868104,30.3669779981128,184950000
3,43,44,19.541463835921,-20.0264698321355,-40.523103005664,-20.3467991835626,-40.91147216971,32.7967920181689,13.255328182248,1981.27434429894,2000.81580813486,50.9878675894993,184950000
4,43,62,20.3248546763159,-20.0264698321355,-40.523103005664,-20.1070877995724,-40.5028619149679,33.5801828585638,13.255328182248,1981.27434429894,2001.59919897526,7.18554760140352,184950000
5,44,45,0.65238961075692,-20.3467991835626,-40.91147216971,-20.3975258449665,-40.989058729189,33.4491816289259,32.7967920181689,2000.81580813486,2001.46819774562,9.63291953838845,184950000
6,44,57,0.768935346166153,-20.3467991835626,-40.91147216971,-20.3321987458236,-40.9871685631262,33.5657273643351,32.7967920181689,2000.81580813486,2001.58474348103,8.51576753912216,184950000
7,45,55,3.93700142663761,-20.3975258449665,-40.989058729189,-20.2953734957447,-41.2142263369273,37.3861830555635,33.4491816289259,2001.46819774562,2005.40519917226,26.490820766554,184950000
8,45,46,3.84657162419241,-20.3975258449665,-40.989058729189,-20.7056323822728,-41.6183747838595,37.2957532531183,33.4491816289259,2001.46819774562,2005.31476936981,74.645858271558,184950000
9,46,47,1.51323797614419,-20.7056323822728,-41.6183747838595,-20.7748847040448,-41.5327697232929,38.8089912292625,37.2957532531183,2005.31476936981,2006.82800734595,11.1391328279504,184950000
10,46,51,0.681899225895967,-20.7056323822728,-41.6183747838595,-20.6195252411791,-41.5795557604643,37.9776524790142,37.2957532531183,2005.31476936981,2005.99666859571,8.37020647212455,184950000
11,47,48,0.8352534381757,-20.7748847040448,-41.5327697232929,-20.8288933452907,-40.8897580821005,39.6442446674382,38.8089912292625,2006.82800734595,2007.66326078413,71.725297740558,184950000
12,47,5,2.79199265404533,-20.7748847040448,-41.5327697232929,-20.763917,-41.533784,41.6009838833078,38.8089912292625,2006.82800734595,2009.62,0.920928634647932,184950000
13,48,1,1.04673921586978,-20.8288933452907,-40.8897580821005,-21.011818,-40.83401,40.6909838833079,39.6442446674382,2007.66326078413,2008.71,16.6043821573801,184950000
14,48,49,0.89226942438417,-20.8288933452907,-40.8897580821005,-20.7804931841226,-40.8645358971758,40.5365140918223,39.6442446674382,2007.66326078413,2008.55553020851,4.94788035194342,184950000
15,49,4,1.06446979148546,-20.7804931841226,-40.8645358971758,-20.789146,-40.814532,41.6009838833078,40.5365140918223,2008.55553020851,2009.62,5.61412689286188,184950000
16,49,50,0.144342934325131,-20.7804931841226,-40.8645358971758,-20.7868668852724,-40.9355421374596,40.6808570261475,40.5365140918223,2008.55553020851,2008.69987314284,7.92286232917563,184950000
17,50,2,1.59012685716041,-20.7868668852724,-40.9355421374596,-20.86369,-40.936139,42.2709838833079,40.6808570261475,2008.69987314284,2010.29,6.46108273212682,184950000
18,50,3,1.68012685716055,-20.7868668852724,-40.9355421374596,-20.950482,-41.342513,42.360983883308,40.6808570261475,2008.69987314284,2010.38,47.3366722268364,184950000
19,51,54,0.469498521654627,-20.6195252411791,-41.5795557604643,-20.6546347576873,-41.6451857339349,38.4471510006689,37.9776524790142,2005.99666859571,2006.46616711736,7.86890873841865,184950000
20,51,52,1.01816218883119,-20.6195252411791,-41.5795557604643,-20.6982207286049,-41.5571045657483,38.9958146678454,37.9776524790142,2005.99666859571,2007.01483078454,7.01480073891326,184950000
21,52,53,0.425717883723909,-20.6982207286049,-41.5571045657483,-21.0990011179577,-41.4594757405135,39.4215325515693,38.9958146678454,2007.01483078454,2007.44054866826,35.1346625733849,184950000
22,52,8,1.27516921546245,-20.6982207286049,-41.5571045657483,-20.763907,-41.533774,40.2709838833079,38.9958146678454,2007.01483078454,2008.29,6.05787597738234,184950000
23,53,7,1.43945133173868,-21.0990011179577,-41.4594757405135,-21.066044,-41.367894,40.860983883308,39.4215325515693,2007.44054866826,2008.88,10.5600007170689,184950000
24,53,6,1.93945133173868,-21.0990011179577,-41.4594757405135,-21.157028,-41.564498,41.360983883308,39.4215325515693,2007.44054866826,2009.38,12.6526364369409,184950000
25,54,10,0.91383288263915,-20.6546347576873,-41.6451857339349,-20.776193,-41.675911,39.360983883308,38.4471510006689,2006.46616711736,2007.38,10.6728932649497,184950000
26,54,9,1.073832882639,-20.6546347576873,-41.6451857339349,-20.536467,-41.658754,39.5209838833079,38.4471510006689,2006.46616711736,2007.54,9.94465686595227,184950000
27,55,56,0.950804717272258,-20.2953734957447,-41.2142263369273,-21.0366495633888,-40.9952794939777,38.3369877728357,37.3861830555635,2005.40519917226,2006.35600388953,66.78706093628,184950000
28,55,11,0.714800827744324,-20.2953734957447,-41.2142263369273,-20.363821,-41.249139,38.1009838833078,37.3861830555635,2005.40519917226,2006.12,6.92419317805506,184950000
