node1,node2,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,length
1,2,40.9432775779508,-73.7972974934222,40.446305655347,-74.322266461721,1.39082819986311,0,1999,2000.39082819986,70.8813878677207,1.39082819985993
2,7,40.446305655347,-74.322266461721,40.0452147167695,-75.8146553059282,2.42847364818613,1.39082819986311,2000.39082819986,2001.42847364819,134.439440215069,1.03764544833007
2,6,40.446305655347,-74.322266461721,40.5447156258701,-74.3181613398977,2.83915126625607,1.39082819986311,2000.39082819986,2001.83915126626,10.9608896726684,1.44832306640001
4,8,41.0168560054797,-73.5455601603573,41.075059753728,-73.5064383336962,2.90212183436006,2.0698151950719,2001.06981519507,2001.90212183436,7.26444543605492,0.832306639289982
6,13,40.5447156258701,-74.3181613398977,40.5319924770569,-74.3116940734146,3.21971252566732,2.83915126625607,2001.83915126626,2002.21971252567,1.51839845742986,0.380561259410115
7,10,40.0452147167695,-75.8146553059282,40.0533893690645,-75.8253107235521,3.523613963039,2.42847364818613,2001.42847364819,2002.52361396304,1.28556419927668,1.09514031484991
10,15,40.0533893690645,-75.8253107235521,40.0486150760984,-75.8135873309603,3.64955509924698,3.523613963039,2002.52361396304,2002.64955509925,1.13159640170336,0.125941136210031
10,14,40.0533893690645,-75.8253107235521,40.040292062885,-75.8204402798224,3.73716632443529,3.523613963039,2002.52361396304,2002.73716632444,1.51597001412009,0.213552361400161
15,17,40.0486150760984,-75.8135873309603,39.9924700453778,-75.7922663455854,3.96440793976717,3.64955509924698,2002.64955509925,2002.96440793977,6.50922488538116,0.314852840519961
15,16,40.0486150760984,-75.8135873309603,40.0271533892799,-75.8049573789109,4.06297056810399,3.64955509924698,2002.64955509925,2003.0629705681,2.49985890470551,0.413415468849962
4,9,41.0168560054797,-73.5455601603573,41.7683429638256,-72.6826862137745,4.71184120465432,2.0698151950719,2001.06981519507,2003.71184120465,110.415033646526,2.64202600957992
16,20,40.0271533892799,-75.8049573789109,40.0479472463576,-75.9372141201302,4.97193702943196,4.06297056810399,2003.0629705681,2003.97193702943,11.5077482804658,0.90896646133001
14,18,40.040292062885,-75.8204402798224,41.4867355618093,-75.7950887428978,5.07323750855585,3.73716632443529,2002.73716632444,2004.07323750856,161.0378754922,1.33607118411987
7,11,40.0452147167695,-75.8146553059282,40.4475086656067,-75.9235292703797,5.13347022587277,2.42847364818613,2001.42847364819,2004.13347022587,45.7304105224179,2.70499657768005
18,24,41.4867355618093,-75.7950887428978,41.4573807769929,-75.7463742556616,5.23203285420936,5.07323750855585,2004.07323750856,2004.23203285421,5.21443516052843,0.158795345650105
24,29,41.4573807769929,-75.7463742556616,41.4468366260807,-75.7213260912036,5.44284736481859,5.23203285420936,2004.23203285421,2004.44284736482,2.39704855966545,0.210814510609907
9,22,41.7683429638256,-72.6826862137745,41.7898409195292,-72.7941252876805,5.51129363449695,4.71184120465432,2003.71184120465,2004.5112936345,9.55580767148619,0.799452429849907
29,33,41.4468366260807,-75.7213260912036,41.4113248141659,-75.7457613345576,5.74127310061613,5.44284736481859,2004.44284736482,2004.74127310062,4.44842401347695,0.298425735800038
14,19,40.040292062885,-75.8204402798224,42.0388372605812,-76.7975386636899,5.77138945927436,3.73716632443529,2002.73716632444,2004.77138945927,237.126129293397,2.03422313482997
9,23,41.7683429638256,-72.6826862137745,41.0090817485405,-73.0907452449911,5.80150581793282,4.71184120465432,2003.71184120465,2004.80150581793,91.1358596675681,1.08966461328009
16,21,40.0271533892799,-75.8049573789109,39.871785599943,-75.7113822827668,5.82614647501714,4.06297056810399,2003.0629705681,2004.82614647502,19.0507479895221,1.7631759069202
23,39,41.0090817485405,-73.0907452449911,41.1282608632682,-73.0325515159291,5.97125256673507,5.80150581793282,2004.80150581793,2004.97125256674,14.1379342884191,0.169746748809985
33,35,41.4113248141659,-75.7457613345576,41.805632373328,-75.3833677824092,6.04517453798758,5.74127310061613,2004.74127310062,2005.04517453799,53.2609464326132,0.303901437370087
24,28,41.4573807769929,-75.7463742556616,41.4483405321507,-75.7262155180074,6.0698151950719,5.23203285420936,2004.23203285421,2005.06981519507,1.96008272430605,0.837782340860031
23,38,41.0090817485405,-73.0907452449911,40.9969085106239,-73.0998754267589,6.11088295687887,5.80150581793282,2004.80150581793,2005.11088295688,1.55719880192938,0.309377138949912
11,26,40.4475086656067,-75.9235292703797,40.4072623475945,-75.8755847891871,6.29158110882963,5.13347022587277,2004.13347022587,2005.29158110883,6.04825289775814,1.15811088296005
